residual_target,probe_metric,n,pearson,spearman
human_residual_after_llm,mean_duration_seconds_weighted,17,0.4698815654181314,0.4926470588235295
human_residual_after_llm,thinking_advantage,17,0.06805898587435709,-0.08093195880474273
human_residual_after_llm,ast_node_count,17,-0.06169453354393761,0.05392156862745098
human_residual_after_llm,complexity_pc1_score,17,-0.17584101867545024,-0.13970588235294118
human_residual_after_llm,cyclomatic_complexity,17,-0.1931879404912492,-0.10545679480617992
human_residual_after_llm,output_cells_total,17,-0.27534754166703296,-0.14950980392156862
human_residual_after_llm,log1p_elapsed_ms_total,17,-0.316023759304758,-0.07352941176470588
human_residual_after_llm,input_cells_total,17,-0.3176265560156459,-0.37254901960784315
human_residual_after_llm,elapsed_ms_total,17,-0.4399592870521053,-0.07352941176470588
human_residual_after_llm,peak_memory_bytes,17,-0.5735885606461429,-0.48774509803921573
human_residual_after_llm,gap_vs_lm_mean_weighted,17,-0.8471583901761679,-0.830165698648649
llm_residual_after_human,gap_vs_lm_mean_weighted,17,0.6693189688828388,0.6033109656353548
llm_residual_after_human,cyclomatic_complexity,17,0.6031976748169638,0.6327407688370795
llm_residual_after_human,log1p_elapsed_ms_total,17,0.5717585182611561,0.502450980392157
llm_residual_after_human,complexity_pc1_score,17,0.5469871556156727,0.625
llm_residual_after_human,ast_node_count,17,0.4877143485974738,0.48774509803921573
llm_residual_after_human,elapsed_ms_total,17,0.3429360128294044,0.502450980392157
llm_residual_after_human,output_cells_total,17,0.25573710703347324,0.16176470588235298
llm_residual_after_human,input_cells_total,17,0.19244612358106178,0.13480392156862747
llm_residual_after_human,peak_memory_bytes,17,0.1699820652971838,0.24264705882352944
llm_residual_after_human,mean_duration_seconds_weighted,17,-0.20682445789008128,-0.16666666666666669
llm_residual_after_human,thinking_advantage,17,-0.7683056275665177,-0.6719805064393791
