outcome,term,coef,std_err,t_value,p_value
solve_rate,const,0.3605432380006469,0.14160498085415565,2.5461197468186807,0.011881250676304158
solve_rate,lm_mean,-0.23604403412479083,0.6585568602008889,-0.35842620188147,0.7205184526668148
solve_rate,exact_any_mean_all,0.7244591317089022,0.5824878108673736,1.2437326896679972,0.2155001859882322
solve_rate,cell_accuracy_padded_mean_all,0.33007730204594704,0.21432532688029815,1.5400760463101824,0.1256074682401144
solve_rate,shape_iou_mean_all,0.01221474622568905,0.15509933615031185,0.07875434240318951,0.9373309270570234
solve_rate,color_iou_mean_all,0.8813428576653214,0.4463785217649612,1.9744293569066231,0.05013310031312706
solve_rate,component_size_iou_mean_all,0.017933706682603603,0.10720954154991753,0.16727715111302421,0.8673728683211407
solve_rate,adjacency_iou_mean_all,-1.0191064383088284,0.40912114731510923,-2.4909649501053592,0.01380735207641223
difficulty,const,1.2946119619106624,0.5659990951182459,2.2873039428449937,0.023548782033591648
difficulty,lm_mean,0.5598618021388765,2.6322703107563568,0.21269160688060404,0.8318506276496402
difficulty,exact_any_mean_all,-1.992048036703574,2.328220178977314,-0.8556098150384532,0.3935515601264655
difficulty,cell_accuracy_padded_mean_all,-1.190411979785699,0.8566643655007493,-1.389589701317695,0.16667228083414432
difficulty,shape_iou_mean_all,-0.2580857745535843,0.6199364131472986,-0.41631007484030846,0.6777665302149223
difficulty,color_iou_mean_all,-2.0169452730381274,1.7841875185125156,-1.1304558809601264,0.26005317350443474
difficulty,component_size_iou_mean_all,-0.375742958138682,0.4285195558748916,-0.8768396984159622,0.3819483922681133
difficulty,adjacency_iou_mean_all,2.963672772932556,1.6352687439192912,1.8123460036479657,0.07189338176488601
log_duration,const,5.550900769361526,0.3225883579569343,17.20738096228065,1.3273945669256507e-37
log_duration,lm_mean,0.8012056712319935,1.5002493194238835,0.534048348403629,0.5940831785909417
log_duration,exact_any_mean_all,-1.0468333697208128,1.326957465084965,-0.7888974569759734,0.43139267384149504
log_duration,cell_accuracy_padded_mean_all,-1.1989700246019857,0.4882515773799462,-2.4556398384535574,0.015182784668717968
log_duration,shape_iou_mean_all,-0.31931236913681943,0.35332966303262187,-0.9037236398330312,0.36756266399806237
log_duration,color_iou_mean_all,1.5481662773472975,1.0168887668697895,1.5224539082213473,0.12995953177142142
log_duration,component_size_iou_mean_all,-0.6039012201073783,0.2442325810666474,-2.472648069597982,0.014506023186060327
log_duration,adjacency_iou_mean_all,0.15829440534992992,0.9320132549134482,0.1698413670786581,0.8653592575077571
human_ease_pc1,const,-1.6310361457183788,0.855856320865605,-1.905735934822289,0.05855994519491531
human_ease_pc1,lm_mean,-1.5755734788902078,3.980298207397389,-0.3958430742606176,0.6927722379614351
human_ease_pc1,exact_any_mean_all,4.141328054019643,3.5205391205233205,1.1763334853680147,0.2412886376937152
human_ease_pc1,cell_accuracy_padded_mean_all,2.5502204068081125,1.2953759438802044,1.968710642540661,0.050793118739845995
human_ease_pc1,shape_iou_mean_all,0.42454302036944025,0.9374158056136489,0.45288656093389307,0.6512719941840253
human_ease_pc1,color_iou_mean_all,2.9553199156819048,2.697898598246769,1.0954154902643196,0.27505599048024487
human_ease_pc1,component_size_iou_mean_all,0.7065158379152608,0.647971301850629,1.0903505076496853,0.2772730013426105
human_ease_pc1,adjacency_iou_mean_all,-5.111355255151236,2.472716127761468,-2.067101515521925,0.040409373923255366
