"item_id","graded_a","graded_location"
"arc_agi_1_eval__009d5c81",1.36943616708093,-2.14639572213296
"arc_agi_1_eval__00dbd492",6.19841865931006,-1.45338359598265
"arc_agi_1_eval__03560426",2.28335745515361,-0.765777674725356
"arc_agi_1_eval__0b17323b",3.18509195184156,-1.63489115216038
"arc_agi_1_eval__0bb8deee",4.60641576336104,-1.6376329953828
"arc_agi_1_eval__0c786b71",3.34166557726734,-1.97458231290232
"arc_agi_1_eval__0c9aba6e",2.65235622149195,-2.07479012676282
"arc_agi_1_eval__0f63c0b9",4.28198262294952,-1.83882444583823
"arc_agi_1_eval__12422b43",5.35152260627805,-1.8150717565112
"arc_agi_1_eval__12997ef3",3.78417875267958,-1.629645420199
"arc_agi_1_eval__12eac192",8.2369466197372,-0.653999262421127
"arc_agi_1_eval__13713586",4.737292931673,-0.569082353567574
"arc_agi_1_eval__140c817e",43.0097596976878,-1.34729536673878
"arc_agi_1_eval__17b80ad2",3.3855814368556,-0.959480809428083
"arc_agi_1_eval__17cae0c1",2.62407854962572,-1.7943624376183
"arc_agi_1_eval__195ba7dc",38.5297916752033,-1.89464096869784
"arc_agi_1_eval__1990f7a8",6.31665354051863,-1.57602414798272
"arc_agi_1_eval__19bb5feb",40.3652854838726,-2.29947081646893
"arc_agi_1_eval__1a2e2828",1.59510911961018,-2.59681034667918
"arc_agi_1_eval__1a6449f1",2.1572607600089,-1.10044662963645
"arc_agi_1_eval__1c02dbbe",3.23096008501672,-1.22375540129201
"arc_agi_1_eval__1c0d0a4b",2.17192786318945,-2.41581473680667
"arc_agi_1_eval__1d0a4b61",37.9541746038366,-2.40013273772828
"arc_agi_1_eval__1d398264",30.3422862957614,-1.95280954342658
"arc_agi_1_eval__1e81d6f9",3.93748501055024,-1.94394157976258
"arc_agi_1_eval__2037f2c7",1.01226573228106,0.498287968332046
"arc_agi_1_eval__2072aba6",3.25002247240898,-2.02937590254294
"arc_agi_1_eval__20981f0e",2.54136172837353,-1.18354748573164
"arc_agi_1_eval__21f83797",5.76955151715193,-1.90594638382002
"arc_agi_1_eval__22a4bbc2",1.47716248746174,-0.389553412142178
"arc_agi_1_eval__32e9702f",3.04984843148897,-2.07820002510444
"arc_agi_1_eval__50aad11f",4.16659722733083,-0.778920473256824
"arc_agi_1_eval__97239e3d",7.37469787027275,-1.26784643041307
"arc_agi_1_eval__981571dc",1.96032076517865,-0.154617198939462
"arc_agi_1_eval__aa4ec2a5",1.7959351281656,0.336568033760892
"arc_agi_1_eval__c62e2108",6.48400529737049,-0.909010504276684
"arc_agi_1_eval__fe9372f3",9.58381752588316,-1.29324654588622
"arc_agi_2_eval__1818057f",3.59981140158499,-1.05934912674412
"arc_agi_2_eval__291dc1e1",2.54551253032373,0.490233811812815
"arc_agi_2_eval__2ba387bc",4.33527371954605,-1.09610012269473
"arc_agi_2_eval__38007db0",2.60270683473589,-1.18310031287525
"arc_agi_2_eval__3e6067c3",2.11190314273483,-1.45485973338492
"arc_agi_2_eval__45a5af55",5.26844183609163,-0.390924208554736
"arc_agi_2_eval__4a21e3da",4.1773617997343,-0.539908216184296
"arc_agi_2_eval__4c3d4a41",1.98678154297886,-0.727016452644797
"arc_agi_2_eval__58490d8a",4.36539710883928,-1.08301588681353
"arc_agi_2_eval__58f5dbd5",3.9773108312904,-0.388286963601034
"arc_agi_2_eval__8f215267",2.67589055609346,-1.17187879120737
"arc_agi_2_eval__981571dc",1.66420797402159,-0.227057043721131
"arc_agi_2_eval__a251c730",1.45883288383209,0.509093343453731
"arc_agi_2_eval__aa4ec2a5",2.65170415937933,0.0888199840010571
"arc_agi_2_eval__b0039139",3.35778492799528,1.07197283085486
"arc_agi_2_eval__b10624e5",1.71220811483284,-0.0737336636995035
"arc_agi_2_eval__db0c5428",2.78187521077634,-0.888630684947647
"arc_agi_2_eval__db695cfb",3.19021255828932,0.16167043856685
