pearson,spearman,n_items
0.37859731708038524,0.3987262657622478,104
0.3205271629035199,0.3698417543807057,108
0.4057282049355927,0.43326854359357986,109
0.262857427294395,0.3043202165941122,108
0.3962130877042656,0.43569578498636885,106
0.4154958695817437,0.4115316044110367,106
0.2860923942621137,0.3241397913927883,104
0.4362676082869341,0.455458972002795,105
0.4488360205284069,0.48794093072028893,106
0.2984246101640871,0.3433677977369345,106
0.40286660935769386,0.424047818568331,100
0.45283347354922715,0.47094498166645854,108
0.37642278608296253,0.41469218776806493,107
0.41097417873434794,0.4691743272470489,105
0.266656822370706,0.29412185575334554,105
0.4188187633644649,0.4472068972783649,105
0.3168463098105736,0.3186268744074997,106
0.40719993777564334,0.42278309844375944,109
0.4413950548126133,0.49716335501490383,108
0.39406171712793076,0.430422912847666,108
0.4732711202685875,0.49618166516471207,107
0.3370487750293238,0.3598515030900693,106
0.3439225992466179,0.38306377972877326,107
0.37892850228822333,0.4263910797808464,105
0.376998701667304,0.3929987260631663,106
0.388111953015628,0.4092534845717562,106
0.4373129733539783,0.4940762148884442,100
0.2822346112639816,0.32065901780044126,104
0.29679644938416155,0.3304380204621864,99
0.38950816597563825,0.41189339535930375,109
0.4359630648949383,0.46713433327318005,110
0.3702465243172045,0.4150720817131674,110
0.4307868211976693,0.4450807135126677,107
0.3682370150498427,0.4092673642568574,107
0.47017371508015193,0.4766495759485448,110
0.4490058643914352,0.5025362716478937,108
0.5810588228863635,0.6063909331806093,108
0.3981253028755028,0.43352856627017766,104
0.43432027551675745,0.45483131367724344,104
0.36865734246920123,0.41855546144051325,106
0.3243138535628976,0.3545645591832842,106
0.463776624602402,0.4639198286733006,104
0.4322103628419966,0.4599862656197537,107
0.3864229553414297,0.3920979116328647,106
0.3949246430664773,0.4328969694312641,108
0.32559953407692044,0.349143364874436,105
0.45801943605800444,0.47275902940425446,106
0.4710208063441027,0.5021442941327693,108
0.30005092924112703,0.33053707736441124,107
0.3623398726000958,0.4047169678808625,108
0.36823456024841744,0.4211630717205256,107
0.3409480313027945,0.37515786139910107,98
0.4281684582806635,0.4446813273788353,108
0.5185557192321757,0.5399336412657239,104
0.2987853787151054,0.320430840280002,107
0.39163511234751347,0.42744530302210343,105
0.5031141189675392,0.539816114249186,106
0.4269045717354391,0.47013433290265844,108
0.41127509864831086,0.4730517005709299,104
0.42400788048881144,0.4635746859099251,109
0.38445701922976117,0.406910377940926,104
0.33506347978545975,0.38578880888421,105
0.3696886191248334,0.38674051519125985,98
0.4584361182740416,0.47357954080959774,110
0.4766236716372091,0.5119527392383282,103
0.44703795401483326,0.4738833480506386,106
0.26681000563157076,0.32250065624366386,109
0.46520446186441194,0.5374758249662903,104
0.41309343714052776,0.4212928161936542,106
0.4116536216805871,0.4264022461024964,108
0.4953869016746569,0.5526913786776088,107
0.39723836976679416,0.41759439577503404,107
0.4212364961652998,0.4382189680514292,105
0.3380817285931038,0.36222636003875175,105
0.42395680352591053,0.4675107285958857,108
0.43233712358655196,0.4709702101979767,104
0.4059125740669498,0.43609143060652994,107
0.3605144009416618,0.3694504499208395,107
0.39699631327967955,0.42440650546682646,106
0.36400016423937476,0.3903619399773083,106
0.3616037666121605,0.36596868271537614,108
0.43808843422803434,0.46492083811787754,104
0.3891201744554278,0.3986695474723773,107
0.3505440594888204,0.3964115719908197,103
0.49599450211915924,0.5305758049371169,105
0.3727421748760674,0.40692300595171405,106
0.4438120875794293,0.45835336746107347,110
0.2782444676637249,0.2998937357993949,104
0.35517054641893764,0.37738974635611244,106
0.3024732373231426,0.32965830833528065,107
0.38209013773869566,0.3983991350555737,105
0.42891701204922383,0.46157318743681364,104
0.3312887809026598,0.3759284586805813,106
0.4441548430762427,0.47308066405151245,107
0.41364884678821645,0.43862370943103574,106
0.28290891246817335,0.32865570781443204,105
0.4339166158628581,0.4671613254108751,107
0.3463243575423227,0.3712678533660671,107
0.3396632309855327,0.41339763852043954,106
0.38668781784017303,0.41726257021130386,108
0.4779146993435038,0.51897803981848,109
0.464413396939935,0.5007129199283664,109
0.3305069011799939,0.37174903609308707,108
0.42256470344352953,0.44484046926192644,107
0.39399758585038397,0.4285786018143913,105
0.4522240465141157,0.48964360704188814,103
0.37191368333547226,0.38162890502387825,106
0.3738226617969224,0.3857819375509787,107
0.23736605116428947,0.28359039538984154,106
0.27604102757184673,0.32974338031508066,106
0.3907520917064704,0.4272843823418023,107
0.2706033157563131,0.2803458638374832,106
0.47961983413228587,0.5177669179865377,109
0.43583633785480597,0.4822797444931445,105
0.296885532664442,0.31735304102813655,107
0.3910147760124537,0.42231771909841015,107
0.4365366864134805,0.476232927606029,108
0.47251894176740866,0.5060235682628377,108
0.4400169623935895,0.4601025542165447,108
0.35544506895718736,0.40926859294010304,104
0.3772503557951634,0.4149587080591261,108
0.40357311942506685,0.41359484143447534,104
0.4154545224477518,0.4385602691666838,105
0.35343471655129366,0.3679516377724266,105
0.45061705788462486,0.4980247126573977,105
0.4091624248347267,0.42333114019698703,107
0.4069747107189125,0.4060424566929543,106
0.30679193953744377,0.37534770766065795,104
0.3263537932599683,0.3457391607041588,106
0.28204046563095636,0.3064841204067799,109
0.4284603147950404,0.4745314659324733,109
0.34209684409441843,0.3628970405594095,106
0.5252778474816737,0.5673175668874755,106
0.4225973491909532,0.4585958760714546,107
0.42509093571800005,0.46419361089617417,102
0.5134931940954589,0.5409911340907317,106
0.388625738151363,0.399654059593058,106
0.4305870370141588,0.4548160171041733,109
0.4043733728420767,0.4345795581968021,106
0.500589139602651,0.5516309852920702,106
0.32025939076677545,0.3418564844195767,104
0.42556796864369933,0.4597915190879995,107
0.4830463904299138,0.5091580233190318,106
0.390961540607952,0.41598607327115245,106
0.4123827669175971,0.43973131081135364,102
0.3330802853873821,0.3418282003143294,107
0.46896215580677736,0.5307745090306778,105
0.40032716424652676,0.43627828444496297,104
0.4017094583356779,0.4414026904252832,106
0.34120113771317545,0.37425669387349525,102
0.4460851628948588,0.47783583323431306,109
