threshold,n_pairs,system,kind,family,pair_accuracy,human_pearson,human_spearman,bootstrap_ci_lo,bootstrap_ci_hi,percentile_vs_human_split,corr_with_llm_average,corr_with_human_residual,partial_corr_raw_features,partial_corr_given_llm_average,step,score_mode
8,110,TRM 72391 pass@1,TRM,,0.00909090909090909,0.07555449398175589,0.07256866612666875,0.0594141819227137,0.15497561544333324,0.0,-0.056965805585872366,0.11709152418590868,0.08642056770090864,0.10768515848340605,72391,pass@1
8,110,TRM 144783 pass@1,TRM,,0.03636363636363636,0.19982482996807927,0.18933686287669396,0.0773818013211199,0.32019925314924835,0.0016666666666666668,0.010117261776362888,0.20686329311282045,0.2113352972195993,0.21379196998443897,144783,pass@1
8,110,TRM 217174 pass@1,TRM,,0.03636363636363636,0.19982482996807927,0.18933686287669396,0.0775800407887914,0.32406152829903134,0.0016666666666666668,0.010117261776362888,0.20686329311282045,0.2113352972195993,0.21379196998443897,217174,pass@1
8,110,TRM 289565 pass@1,TRM,,0.045454545454545456,0.21400441526220484,0.20321862863703388,0.08946457788389373,0.3328374979560712,0.002,0.11218531440774672,0.15672924839984287,0.21872469800469088,0.18564419013094627,289565,pass@1
8,110,TRM 361957 pass@1,TRM,,0.045454545454545456,0.21400441526220484,0.20321862863703388,0.08977395781642278,0.3338394329124777,0.002,0.11218531440774672,0.15672924839984287,0.21872469800469088,0.18564419013094627,361957,pass@1
8,110,TRM 434348 pass@1,TRM,,0.045454545454545456,0.21400441526220484,0.20321862863703388,0.0912640254605491,0.33185796104803195,0.002,0.11218531440774672,0.15672924839984287,0.21872469800469088,0.18564419013094627,434348,pass@1
8,110,TRM 506739 pass@1,TRM,,0.045454545454545456,0.21400441526220484,0.20321862863703388,0.09020504048531329,0.33273712613475637,0.002,0.11218531440774672,0.15672924839984287,0.21872469800469088,0.18564419013094627,506739,pass@1
8,110,TRM 579130 pass@1,TRM,,0.05454545454545454,0.13333379585043584,0.1251105828891189,-0.08605851218854707,0.30268645181746817,0.0,0.07169504475016704,0.09649858592827051,0.15774141256084778,0.11443907457121581,579130,pass@1
8,110,TRM 651522 pass@1,TRM,,0.06363636363636363,0.08195818927388292,0.06995205559343919,-0.14276564180433357,0.27526881554180227,0.0,0.03766631111090755,0.063411186063879,0.10256614670156332,0.07302495091038005,651522,pass@1
8,110,TRM 723914 pass@1,TRM,,0.05454545454545454,0.13333379585043584,0.1251105828891189,-0.10107752892067598,0.3008372670561473,0.0,0.07169504475016704,0.09649858592827051,0.15774141256084778,0.11443907457121581,723914,pass@1
8,110,TRM 72391 pass@2,TRM,,0.02727272727272727,0.06514620679931733,0.05990699680715997,-0.054651988664973984,0.1684305166125912,0.0,-0.017066446438700315,0.08046411249838337,0.07354153196707992,0.07864495781013543,72391,pass@2
8,110,TRM 144783 pass@2,TRM,,0.05454545454545454,0.1414582708157264,0.1352205289811689,-0.014900868431124053,0.2800227471895177,0.0,0.012509641954531888,0.1430211590480118,0.15434967641812355,0.14900286194051868,144783,pass@2
8,110,TRM 217174 pass@2,TRM,,0.045454545454545456,0.17213290686358615,0.1667081631530922,0.028029342420097806,0.3032303087126947,0.0003333333333333333,-0.008798848188842797,0.189396150820935,0.18077703372377402,0.1918487100143587,217174,pass@2
8,110,TRM 289565 pass@2,TRM,,0.05454545454545454,0.18946653197426166,0.18324277291840646,0.06022785344938092,0.31459232218275546,0.001,0.08649139544907579,0.14696374999036274,0.19340667948296802,0.1695869671447599,289565,pass@2
8,110,TRM 361957 pass@2,TRM,,0.045454545454545456,0.21400441526220484,0.20321862863703388,0.0931552568998126,0.33004353548826937,0.002,0.11218531440774672,0.15672924839984287,0.21872469800469088,0.18564419013094627,361957,pass@2
8,110,TRM 434348 pass@2,TRM,,0.05454545454545454,0.20866983643767567,0.1990395636872346,0.08801645179835918,0.3293324349381541,0.0016666666666666668,0.11608409684689333,0.14854078636730308,0.19825372183488943,0.17813989276239994,434348,pass@2
8,110,TRM 506739 pass@2,TRM,,0.05454545454545454,0.18946653197426166,0.18324277291840646,0.054680800922958496,0.31304971122354736,0.001,0.08649139544907579,0.14696374999036274,0.19340667948296802,0.1695869671447599,506739,pass@2
8,110,TRM 579130 pass@2,TRM,,0.07272727272727272,0.09625730230523752,0.09117169246307508,-0.09461874341969491,0.26585435294278126,0.0,0.06634195273714899,0.06033895801762049,0.11993076609983112,0.07617182371789447,579130,pass@2
8,110,TRM 651522 pass@2,TRM,,0.10909090909090909,0.11274035127981138,0.10218107458795514,-0.07276298249497905,0.27916780189984236,0.0,0.012835768056655143,0.11215331409828917,0.1083901856371112,0.1174960091909339,651522,pass@2
8,110,TRM 723914 pass@2,TRM,,0.10909090909090909,0.09175791752600888,0.07870704393937086,-0.10258059830047514,0.2778197551456017,0.0,-0.024887672415193983,0.11387645822536012,0.10064434625673246,0.11116200902336201,723914,pass@2
