series,draw
Average model,0.4614961797156662
Average model,0.3759353795864785
Average model,0.39095008227184563
Average model,0.33396198851568054
Average model,0.3769055726891902
Average model,0.2980559201828451
Average model,0.47066297322150175
Average model,0.2977185791435169
Average model,0.3443375937220462
Average model,0.3433515712483924
Average model,0.42926122530956984
Average model,0.4552910290915786
Average model,0.36358995476412415
Average model,0.3543265597033672
Average model,0.3709030467077933
Average model,0.5808468528206099
Average model,0.4642951400590278
Average model,0.4300210757529228
Average model,0.5052006975350022
Average model,0.5499709483389693
Average model,0.30714566805785676
Average model,0.5287599207290076
Average model,0.430445312382261
Average model,0.29394354242545007
Average model,0.3296708363890913
Average model,0.3475304272447321
Average model,0.2337632294063866
Average model,0.20672450860903668
Average model,0.28745705202212296
Average model,0.5074184223235658
Average model,0.46596493534944305
Average model,0.4203385640260144
Average model,0.3963058156818331
Average model,0.3807261227071566
Average model,0.33730314464261524
Average model,0.47825520613213746
Average model,0.43434460649291945
Average model,0.32271425784211
Average model,0.42996562202752914
Average model,0.32068042517634116
Average model,0.29833337629050155
Average model,0.42705966756212954
Average model,0.390694178364715
Average model,0.5507188788846217
Average model,0.45500202574197685
Average model,0.3742423020807486
Average model,0.4613080547647792
Average model,0.44656149339044987
Average model,0.44006982605892936
Average model,0.5737581120913903
Average model,0.32136613257431296
Average model,0.40165654508384774
Average model,0.4326063205159716
Average model,0.4356824095792
Average model,0.2814717790564691
Average model,0.5005940166523676
Average model,0.41397673961981757
Average model,0.48120797555328887
Average model,0.31500230417445846
Average model,0.34816929663660384
Average model,0.30348753560699465
Average model,0.35774397514781053
Average model,0.28488427545102013
Average model,0.2942329078220374
Average model,0.4241601610778977
Average model,0.4203088830055679
Average model,0.4201120372710438
Average model,0.3599572117175255
Average model,0.5622414558131492
Average model,0.30376601425977623
Average model,0.4424203023688199
Average model,0.44285186997700504
Average model,0.5598108494857941
Average model,0.3391261486019286
Average model,0.5073047619819026
Average model,0.3367048874639547
Average model,0.4452228908342591
Average model,0.2589091539077117
Average model,0.3146890602308607
Average model,0.3800738157205919
Average model,0.5023142831621005
Average model,0.46355108511830034
Average model,0.4169441539416483
Average model,0.3141122593535437
Average model,0.4013601794745579
Average model,0.3167996493640024
Average model,0.44875147450565683
Average model,0.36094197475245665
Average model,0.35473630935261274
Average model,0.42182133277425243
Average model,0.2510376181323445
Average model,0.4051465958297742
Average model,0.4630492026819281
Average model,0.3992513970570308
Average model,0.3557001044106009
Average model,0.45668722800762906
Average model,0.45305958944777575
Average model,0.44632778669387246
Average model,0.3822362513618671
Average model,0.3153747943222775
Average model,0.4033295758061859
Average model,0.4051823159684991
Average model,0.37406785859374225
Average model,0.45377395092497563
Average model,0.32740859318260523
Average model,0.34909650940249476
Average model,0.4143383251832763
Average model,0.33372137840971694
Average model,0.4662989726640578
Average model,0.25583087917971475
Average model,0.31534340987033704
Average model,0.44636076003415975
Average model,0.33792145331824
Average model,0.3998162740255654
Average model,0.4029869077061313
Average model,0.5178409925426235
Average model,0.4465342840996147
Average model,0.3498235878951854
Average model,0.45856673742259546
Average model,0.26949324579514056
Average model,0.4146853661188954
Average model,0.5039806132834913
Average model,0.41650721555641523
Average model,0.39612255211368946
Average model,0.43028537893986085
Average model,0.30871656088651966
Average model,0.3628630008183198
Average model,0.45953226086349347
Average model,0.39599723312211715
Average model,0.4548183103251403
Average model,0.24414393994990566
Average model,0.42386505736834623
Average model,0.4166690011553894
Average model,0.36057131879655197
Average model,0.2740895811784683
Average model,0.5797049101044504
Average model,0.36187551180811944
Average model,0.3522409921379837
Average model,0.4086278700171897
Average model,0.18431293730549678
Average model,0.27997556007913316
