task_index,task_id,status,exact_match,duration_seconds,error
1,00d62c1b,error,False,281.407,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2,017c7c7b,error,False,101.675,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
3,045e512c,ok,False,43.052,
4,0520fde7,error,False,26.576,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
5,05269061,error,False,196.138,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
6,05f2a901,ok,True,433.819,
7,06df4c85,error,False,184.079,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
8,08ed6ac7,error,False,219.585,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
9,09629e4f,ok,False,348.802,
10,0a938d79,ok,True,462.961,
11,0b148d64,error,False,294.621,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
12,0ca9ddb6,error,False,365.265,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
13,0dfd9992,error,False,109.861,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
14,0e206a2e,ok,False,127.882,
15,11852cab,ok,False,207.053,
16,1190e5a7,error,False,333.845,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
17,137eaa0f,error,False,147.596,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
18,150deff5,ok,True,262.759,
19,178fcbfb,error,False,57.597,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
20,1a07d186,ok,False,294.58,
