task_ID,benchmark_label,dataset_key,pair_count,attempts_total,raw_solve_rate,mean_duration_seconds,mean_submissions,latent_correct_logit,latent_correct_prob,latent_duration_log,latent_duration_seconds,pair_difficulty_sd,pair_prob_range,session_count,row_count,latent_human_difficulty,human_ease_pc1,human_difficulty_pc1,llm_latent_difficulty,arc1_pass_rate,llm_pass_rate,arc2_pass_rate
00576224,arc1_sidecar,arc_agi_1_eval,1,9,0.8888888888888888,125.20377777777779,1.5555555555555556,1.7970059488378483,0.8577840802595462,4.890014486098062,131.95550004374422,0.0,0.0,9,9,-1.7970059488378483,0.630049006765535,-0.630049006765535,-4.904226910166647,1.0,1.0,
009d5c81,arc1_sidecar,arc_agi_1_eval,1,9,1.0,65.14222222222222,2.111111111111111,2.5303947827352715,0.9262453274875218,4.305309042558692,73.09210953015233,0.0,0.0,9,9,-2.5303947827352715,1.889758801260249,-1.889758801260249,-2.0335421885772953,0.6363636363636364,0.6363636363636364,
00dbd492,arc1_sidecar,arc_agi_1_eval,1,9,1.0,165.57855555555554,1.1111111111111112,2.7453353142473054,0.9396493646581563,4.839702989835812,125.4317946248898,0.0,0.0,9,9,-2.7453353142473054,1.0550730198104517,-1.0550730198104517,-1.7619295096191232,0.5909090909090909,0.5909090909090909,
03560426,arc1_sidecar,arc_agi_1_eval,1,9,0.6666666666666666,146.0917777777778,1.1111111111111112,1.1024937619935424,0.7507270698101742,4.7032413895716285,109.30413228073652,0.0,0.0,9,9,-1.1024937619935424,0.49512898511143905,-0.49512898511143905,-0.4414312327420836,0.36363636363636365,0.36363636363636365,
05a7bcf2,arc1_sidecar,arc_agi_1_eval,1,9,0.6666666666666666,437.0467777777778,1.8888888888888888,0.7708861411171255,0.683712552673893,6.116794325385964,452.4088809744805,0.0,0.0,9,9,-0.7708861411171255,-2.139796177001985,2.139796177001985,1.0897106085954293,0.13636363636363635,0.13636363636363635,
0607ce86,arc1_sidecar,arc_agi_1_eval,1,9,0.8888888888888888,112.94566666666667,0.8888888888888888,1.9128954999512824,0.8713440928824159,4.935007863486522,138.0742361361601,0.0,0.0,9,9,-1.9128954999512824,0.6115818483234899,-0.6115818483234899,-3.2378679930637904,0.8181818181818182,0.8181818181818182,
09c534e7,arc1_sidecar,arc_agi_1_eval,1,9,0.8888888888888888,161.78866666666667,1.3333333333333333,2.303847893684057,0.9091952188839684,5.32624548280573,204.66435242959864,0.0,0.0,9,9,-2.303847893684057,0.1173466470889551,-0.1173466470889551,2.530935205054695,0.0,0.0,
0a1d4ef5,arc1_sidecar,arc_agi_1_eval,1,463,0.9287257019438445,177.22845788336932,1.323974082073434,2.859731236977667,0.9458195284217722,4.957605908889926,141.25282168241102,0.0,0.0,463,463,-2.859731236977667,0.8843067840002078,-0.8843067840002078,-1.2333274104020782,0.5,0.5,
0a2355a6,arc1_sidecar,arc_agi_1_eval,1,9,0.8888888888888888,172.54933333333332,1.3333333333333333,1.5007705400202975,0.8176893713828701,4.9919396771929385,146.22170931691642,0.0,0.0,9,9,-1.5007705400202975,0.2930956342591354,-0.2930956342591354,0.7375762589810098,0.18181818181818182,0.18181818181818182,
0b17323b,arc1_sidecar,arc_agi_1_eval,1,9,1.0,74.47,1.1111111111111112,2.878968746053628,0.9467969406975902,4.2482579704376064,68.9833929574451,0.0,0.0,9,9,-2.878968746053628,2.070483264880977,-2.070483264880977,-2.911591026185622,0.7727272727272727,0.7727272727272727,
0becf7df,arc1_sidecar,arc_agi_1_eval,1,9,0.7777777777777778,146.998,1.0,1.8500763445575026,0.8641360664671395,5.023048064409089,150.87351927369897,0.0,0.0,9,9,-1.8500763445575026,0.4348258305023854,-0.4348258305023854,-1.4959996250820986,0.5454545454545454,0.5454545454545454,
0d87d2a6,arc1_sidecar,arc_agi_1_eval,1,9,0.6666666666666666,116.04466666666667,1.6666666666666667,0.9652580646103511,0.7241733212095582,4.704721517878097,109.46751743491305,0.0,0.0,9,9,-0.9652580646103511,0.38199702052550927,-0.38199702052550927,2.5309341967858985,0.0,0.0,
0e671a1a,arc1_sidecar,arc_agi_1_eval,1,9,0.5555555555555556,187.7881111111111,2.2222222222222223,0.6925234735089152,0.6665280506949715,4.689656290065498,107.81577231714533,0.0,0.0,9,9,-0.6925234735089152,0.16686029689986187,-0.16686029689986187,-0.16753165954560495,0.3181818181818182,0.3181818181818182,
103eff5b,arc1_sidecar,arc_agi_1_eval,1,9,1.0,155.91322222222223,1.0,2.6494323723344424,0.933975996463991,4.7601025700994555,115.75790115436146,0.0,0.0,9,9,-2.6494323723344424,1.1640799526318406,-1.1640799526318406,-0.16753064801268913,0.3181818181818182,0.3181818181818182,
11e1fe23,arc1_sidecar,arc_agi_1_eval,1,9,1.0,114.18111111111112,1.6666666666666667,2.5895142345157547,0.9301836771309144,4.815334793152639,122.38811489186475,0.0,0.0,9,9,-2.5895142345157547,1.0562325571824347,-1.0562325571824347,0.7375760211261266,0.18181818181818182,0.18181818181818182,
12422b43,arc1_sidecar,arc_agi_1_eval,1,8,0.875,109.650125,1.5,1.7110664803139786,0.8469745604681839,4.8631803806016585,128.4352013975579,0.0,0.0,8,8,-1.7110664803139786,0.6297173387715277,-0.6297173387715277,-2.9115895781896937,0.7727272727272727,0.7727272727272727,
13713586,arc1_sidecar,arc_agi_1_eval,1,9,0.8888888888888888,142.82955555555554,1.1111111111111112,2.100123864497845,0.8909152171947878,4.696387051234472,108.55065567985498,0.0,0.0,9,9,-2.100123864497845,1.0907995176397391,-1.0907995176397391,0.11683522973379108,0.2727272727272727,0.2727272727272727,
15113be4,arc1_sidecar,arc_agi_1_eval,1,9,1.0,97.42355555555555,1.1111111111111112,2.6924557287530018,0.9365800032772656,4.628207308174355,101.33045261433644,0.0,0.0,9,9,-2.6924557287530018,1.3947311553538841,-1.3947311553538841,1.4870301072608922,0.09090909090909091,0.09090909090909091,
15663ba9,arc1_sidecar,arc_agi_1_eval,1,9,0.7777777777777778,220.02599999999998,2.111111111111111,1.585153478374548,0.8299331384323809,5.097528679010331,162.61705698122057,0.0,0.0,9,9,-1.585153478374548,0.16816244665256366,-0.16816244665256366,1.487031358555014,0.09090909090909091,0.09090909090909091,
15696249,arc1_sidecar,arc_agi_1_eval,1,9,1.0,143.49588888888889,2.0,2.3479853180887376,0.9127739566356817,4.928310363956355,137.14589874476238,0.0,0.0,9,9,-2.3479853180887376,0.7954060626387995,-0.7954060626387995,-0.9715982305374758,0.45454545454545453,0.45454545454545453,
17cae0c1,arc1_sidecar,arc_agi_1_eval,1,9,1.0,74.65488888888889,1.0,2.5655484162854103,0.9286111518651223,4.482500493815396,87.45557900133015,0.0,0.0,9,9,-2.5655484162854103,1.6043353808352148,-1.6043353808352148,-2.0335437604870314,0.6363636363636364,0.6363636363636364,
184a9768,arc1_sidecar,arc_agi_1_eval,1,9,1.0,138.94788888888888,1.2222222222222223,2.442727523464375,0.9200279994490147,5.103436881509525,163.58660099706702,0.0,0.0,9,9,-2.442727523464375,0.5337959161621013,-0.5337959161621013,2.5309327486306237,0.0,0.0,
1990f7a8,arc1_sidecar,arc_agi_1_eval,1,9,0.8888888888888888,85.34455555555556,0.8888888888888888,2.3582375396080697,0.9135867677162609,4.312906411016071,73.65715831004361,0.0,0.0,9,9,-2.3582375396080697,1.8243422533135087,-1.8243422533135087,-0.9715962200566066,0.45454545454545453,0.45454545454545453,
1acc24af,arc1_sidecar,arc_agi_1_eval,1,9,0.8888888888888888,100.961,3.6666666666666665,1.8314602004981477,0.8619355863826519,4.7310994866677305,112.42019781393576,0.0,0.0,9,9,-1.8314602004981477,0.912176994541932,-0.912176994541932,1.4870298066505137,0.09090909090909091,0.09090909090909091,
1c56ad9f,arc1_sidecar,arc_agi_1_eval,1,8,0.25,402.57925,2.75,-0.7194508548057019,0.3275139199080397,5.7691041467571225,319.2507064659635,0.0,0.0,8,8,0.7194508548057019,-3.044876071758966,3.044876071758966,1.089708993759465,0.13636363636363635,0.13636363636363635,
1da012fc,arc1_sidecar,arc_agi_1_eval,1,9,0.8888888888888888,125.5977777777778,1.3333333333333333,2.1658196797056077,0.897137840112027,4.726026507556339,111.84627649587203,0.0,0.0,9,9,-2.1658196797056077,1.0673398205057956,-1.0673398205057956,-1.4959996599060177,0.5454545454545454,0.5454545454545454,
1e81d6f9,arc1_sidecar,arc_agi_1_eval,1,9,1.0,68.12744444444444,1.0,2.711150057079231,0.9376813860475093,4.333481186139531,75.20912347279203,0.0,0.0,9,9,-2.711150057079231,1.89047183907202,-1.89047183907202,-1.7619299808669078,0.5909090909090909,0.5909090909090909,
2037f2c7,arc1_sidecar,arc_agi_1_eval,1,10,0.9,235.83069999999998,2.8,1.8292979143035333,0.8616780671995277,5.304538908471022,200.24818718285005,0.0,0.0,10,10,-1.8292979143035333,-0.04451256886740793,0.04451256886740793,0.41638808740101463,0.22727272727272727,0.22727272727272727,
