session_ID,attempts,solve_rate,mean_duration_seconds,task_count,latent_session_ability
nNw17J7t4qz4Nk0Qzsp4,57,0.9649122807017544,84.81322807017543,57,1.3826580019418826
DaAKqSSdssZd2BIFLyTt,44,0.75,146.11954545454546,44,-0.19780175577490158
bI10rBSJEFMcM2Uc7KFb,36,0.9722222222222222,183.84955555555555,36,1.6232622936710694
FxTLdSZomS3sRPSmkSJT,36,0.9722222222222222,109.89827777777778,36,1.2905474864614424
5r3nPk3wsYHzsfwXCKgz,36,1.0,94.15205555555556,36,1.7428723710324423
nR0a0bBQ852Y8HGNAQpa,36,0.9444444444444444,111.8818888888889,36,1.0484854837946906
7cRvQY7P1j8pDpqyuqRV,35,1.0,106.12991428571429,35,1.8158816297846276
4zGjz45RIU9hRVOeUObq,35,0.9142857142857143,127.78545714285714,35,0.6576690957305192
O2HBpfx52b79k1eeKNJj,34,0.9705882352941176,141.88150000000002,34,1.350439746680139
FBkif2UUax26itPhjxae,34,1.0,123.22867647058823,34,1.4647387142857247
zon7GRvavvHuH2xN72YU,31,0.967741935483871,107.831,31,1.4443682523312047
rb6SdC1rdDlo6XlD3ekj,31,1.0,96.57409677419355,30,1.50861423147099
yHKd9IICbb357h2yD01s,30,1.0,96.02919999999999,30,1.724191779757026
mJpmvdsWA6djDyW27bGA,29,0.8620689655172413,155.7185517241379,29,0.6940638640466273
Ex8kdfCWYlnpOqZGQHOo,29,0.7931034482758621,115.864,29,0.006305486522170476
dPruTNNS0RrseOVxTXGk,29,0.9655172413793104,149.56006896551725,29,1.199153407931345
JNtCQxgTYw39fZ1cTwfn,28,0.9285714285714286,95.80660714285715,28,0.8393325450187875
La3HHW071yEg7fKC9ELc,28,1.0,93.71532142857143,28,1.7336539215725286
1uFQTLtUJSfb9qng32V5,28,1.0,114.10025,28,1.6945032272038298
B12MyLPfvQPKCwt7rTee,28,0.9285714285714286,114.35696428571428,28,0.7692100184228193
hDxLVZEYkc5Kj5InNiRa,27,0.8518518518518519,121.2011111111111,27,0.045689738500487444
jC4ppQUMClp1rnEOJx4H,26,1.0,110.45503846153846,26,1.3637111827308073
F9hsHGW51pqMFCEHn6Dj,26,1.0,98.23773076923077,26,1.4383225420852765
NQaP9dMLqCs9mxeASMi3,26,0.9230769230769231,142.69046153846153,26,0.8608210065521719
Uu7Vq21jo3KkH6fM2sg4,25,0.96,97.29948,25,1.1215691951091153
ATIf9CkHCnfSl2Xq1afp,24,1.0,109.08262500000001,23,1.3830646400038198
qWqk3NMQCOe7t3u1Begy,23,0.8695652173913043,158.55669565217391,23,0.49980789311665935
lZURx37JH59Kc0YEMhhm,23,0.8260869565217391,128.9751304347826,23,0.021015251498456306
C7WmGFXVRxNclsNZL5MG,22,0.4090909090909091,153.49068181818183,22,-1.7302476934738065
pknE1WPFGSzXSkl0nqoO,22,0.8181818181818182,208.6271818181818,22,-0.04200740532049852
