task_id,llm_latent_difficulty,in_arc1_eval,in_arc2_eval,arc1_pass_rate,arc2_pass_rate,benchmark_membership
00576224,-4.904226910166647,True,False,1.0,,arc1_eval
009d5c81,-2.0335421885772953,True,False,0.6363636363636364,,arc1_eval
00dbd492,-1.7619295096191232,True,False,0.5909090909090909,,arc1_eval
03560426,-0.4414312327420836,True,False,0.36363636363636365,,arc1_eval
05a7bcf2,1.0897106085954293,True,False,0.13636363636363635,,arc1_eval
0607ce86,-3.2378679930637904,True,False,0.8181818181818182,,arc1_eval
0692e18c,-1.2333260870212517,True,False,0.5,,arc1_eval
070dd51e,-2.0335472658305425,True,False,0.6363636363636364,,arc1_eval
08573cc6,1.089709433495818,True,False,0.13636363636363635,,arc1_eval
0934a4d8,3.1112837645653744,True,True,0.0,0.0,arc1_eval|arc2_eval
09c534e7,2.530935205054695,True,False,0.0,,arc1_eval
0a1d4ef5,-1.2333274104020782,True,False,0.5,,arc1_eval
0a2355a6,0.7375762589810098,True,False,0.18181818181818182,,arc1_eval
0b17323b,-2.911591026185622,True,False,0.7727272727272727,,arc1_eval
0bb8deee,-2.033546243353604,True,False,0.6363636363636364,,arc1_eval
0becf7df,-1.4959996250820986,True,False,0.5454545454545454,,arc1_eval
0c786b71,-2.6049950061353684,True,False,0.7272727272727273,,arc1_eval
0c9aba6e,-1.76192527537635,True,False,0.5909090909090909,,arc1_eval
0d87d2a6,2.5309341967858985,True,False,0.0,,arc1_eval
0e671a1a,-0.16753165954560495,True,False,0.3181818181818182,,arc1_eval
0f63c0b9,-1.2333288337625687,True,False,0.5,,arc1_eval
103eff5b,-0.16753064801268913,True,False,0.3181818181818182,,arc1_eval
11e1fe23,0.7375760211261266,True,False,0.18181818181818182,,arc1_eval
12422b43,-2.9115895781896937,True,False,0.7727272727272727,,arc1_eval
12997ef3,-2.31353711842102,True,False,0.6818181818181818,,arc1_eval
12eac192,-0.7084743735404746,True,False,0.4090909090909091,,arc1_eval
135a2760,1.95309233463474,False,True,,0.045454545454545456,arc2_eval
