draw_id,benchmark_label,n_tasks,raw_task_correlation,latent_task_correlation
0,arc1_sidecar,225,0.42289774069180436,0.42422594663234997
0,arc2_eval,101,0.33050076305277143,0.45282494510503224
0,arc2_train_other,94,0.28809369931847195,0.3922482168035275
1,arc1_sidecar,221,0.3880973498232006,0.4244137516121523
1,arc2_eval,107,0.3286997759857988,0.38993967399004
1,arc2_train_other,94,0.3564872280992147,0.4201715677922499
2,arc1_sidecar,214,0.3112707386991157,0.396312108476522
2,arc2_eval,105,0.42038812619396887,0.4653773631070315
2,arc2_train_other,91,0.23610672516596218,0.2734324216274031
3,arc1_sidecar,221,0.37546664512366734,0.4396666488680655
3,arc2_eval,105,0.44802311501988834,0.4866097073062501
3,arc2_train_other,94,0.23788503681502393,0.31862932473588657
4,arc1_sidecar,224,0.3630225910931001,0.4459013398127353
4,arc2_eval,105,0.24999156605473108,0.3907570305417686
4,arc2_train_other,93,0.3145496801709407,0.4634209275317273
5,arc1_sidecar,221,0.33105510609297684,0.3912077296458974
5,arc2_eval,105,0.43492172430985354,0.4911664748531736
5,arc2_train_other,91,0.4096398682498428,0.4874950293464169
6,arc1_sidecar,220,0.35191207965367205,0.4326706995608292
6,arc2_eval,104,0.3227368397096869,0.3788166664030666
6,arc2_train_other,94,0.36594002441461077,0.4714231399217767
7,arc1_sidecar,218,0.3101475332748703,0.3880782070852505
7,arc2_eval,106,0.2689718823571337,0.3570657976024909
7,arc2_train_other,91,0.344336283954188,0.43598861410827333
8,arc1_sidecar,223,0.4393197517626217,0.5083082663672495
8,arc2_eval,106,0.32334727842733335,0.38901561474532875
8,arc2_train_other,94,0.38017662787036144,0.5140781361687579
9,arc1_sidecar,220,0.33033288422904233,0.43958499115585725
9,arc2_eval,104,0.39392889322397545,0.4764984091112353
9,arc2_train_other,93,0.3077073506278169,0.4412991981897382
10,arc1_sidecar,222,0.4232811307529464,0.48756815502093376
10,arc2_eval,105,0.43909223910269607,0.5058792224705222
10,arc2_train_other,95,0.28555689975537646,0.3995364156672893
11,arc1_sidecar,224,0.40361671909578956,0.4787889073367883
11,arc2_eval,101,0.2682903638216404,0.36491023561018077
11,arc2_train_other,92,0.34126039348019993,0.4110203422580055
12,arc1_sidecar,222,0.37985619722497116,0.44722977930954466
12,arc2_eval,100,0.4490710352031803,0.484679744269481
12,arc2_train_other,91,0.35693661566618917,0.4514620163195984
13,arc1_sidecar,223,0.3985499257990458,0.44174453426235044
13,arc2_eval,104,0.342279005140617,0.4301342059593336
13,arc2_train_other,94,0.3853865647415273,0.47175832452191135
14,arc1_sidecar,223,0.40427111341049327,0.4609204333638312
14,arc2_eval,103,0.42418962848718816,0.46942185261482466
14,arc2_train_other,94,0.25871051440179804,0.39474804370320016
15,arc1_sidecar,218,0.3401628341322217,0.44433311140384535
15,arc2_eval,104,0.44380770320993157,0.5063978074004541
15,arc2_train_other,91,0.406673284382485,0.4682636439351811
16,arc1_sidecar,218,0.28355509156837505,0.349458190077992
16,arc2_eval,103,0.3991753783935593,0.4638471248925596
16,arc2_train_other,93,0.33304374840309786,0.4406103572902982
17,arc1_sidecar,222,0.3460684688958309,0.36241731128633786
17,arc2_eval,104,0.2276776853290483,0.24043081956625603
17,arc2_train_other,91,0.3106112493129437,0.3810936302622104
18,arc1_sidecar,224,0.4063536546336979,0.41793699844990595
18,arc2_eval,103,0.3139517206406012,0.4538103523219872
18,arc2_train_other,94,0.36189125022439905,0.4245782116015832
19,arc1_sidecar,223,0.36210887375049744,0.4321467083700136
19,arc2_eval,101,0.45761909389598737,0.4840723060987092
19,arc2_train_other,93,0.2540531386465532,0.3541413712526319
20,arc1_sidecar,223,0.3737450750282608,0.45257857614752256
20,arc2_eval,103,0.39895821083164745,0.4427356465963684
20,arc2_train_other,94,0.4842993844670015,0.5153338605140287
21,arc1_sidecar,220,0.5042973511109876,0.48200367545021094
21,arc2_eval,102,0.44007900841366554,0.5035697515608896
21,arc2_train_other,92,0.24818668835137542,0.34645654252786656
22,arc1_sidecar,222,0.3151379778446781,0.3452996357298331
22,arc2_eval,101,0.345621358370739,0.44697082943961153
22,arc2_train_other,88,0.2096323068431609,0.2605770130915123
23,arc1_sidecar,215,0.3566269146156235,0.4789094176225739
23,arc2_eval,106,0.26807233833326116,0.33434602341165753
23,arc2_train_other,91,0.30537678674834806,0.36708774718604587
24,arc1_sidecar,222,0.3574123914581825,0.3996012134447917
24,arc2_eval,103,0.3840678615251466,0.4590460490949701
24,arc2_train_other,95,0.43141866143761576,0.4542980844490522
25,arc1_sidecar,217,0.4628798011847319,0.49423403348604183
25,arc2_eval,105,0.37332166360547264,0.4568430913789985
25,arc2_train_other,92,0.39070506475561007,0.4612439807060375
26,arc1_sidecar,221,0.3636367944235694,0.3791921539379544
26,arc2_eval,105,0.4089869222082552,0.44087919961346794
26,arc2_train_other,93,0.4412349501889458,0.5457611402466891
27,arc1_sidecar,224,0.240838380108447,0.3269807554170735
27,arc2_eval,104,0.36432894100672336,0.4827571752048644
27,arc2_train_other,91,0.29291495602729845,0.41885233096171803
28,arc1_sidecar,223,0.33184791592846374,0.4127713053870981
28,arc2_eval,107,0.36832076970971894,0.4561081921178022
28,arc2_train_other,93,0.28094222684516384,0.3282631091154046
29,arc1_sidecar,217,0.33882743256606046,0.4397868724346466
29,arc2_eval,104,0.4656243403221638,0.5672274026034071
29,arc2_train_other,95,0.36081349561948056,0.43850117051566856
30,arc1_sidecar,223,0.3883118766830499,0.4434209920677598
30,arc2_eval,107,0.3439232888814038,0.4185215338725294
30,arc2_train_other,92,0.43673244898970187,0.5004706457250028
31,arc1_sidecar,220,0.3479711820363685,0.39006368507074
31,arc2_eval,101,0.34121875564417375,0.3733108111389144
31,arc2_train_other,94,0.3309694715057889,0.399296686821966
32,arc1_sidecar,224,0.35794999562153695,0.44511995402550664
32,arc2_eval,104,0.41937166776504275,0.45393509330540094
32,arc2_train_other,93,0.38660476221844015,0.4629841433621737
33,arc1_sidecar,222,0.42528482333820605,0.5110571672081711
33,arc2_eval,101,0.2647762675966931,0.31160709895132005
33,arc2_train_other,92,0.3172345654985921,0.42289196312899563
34,arc1_sidecar,223,0.41099822223801713,0.48647202756902236
34,arc2_eval,104,0.3954905507377167,0.48537741521705996
34,arc2_train_other,96,0.32087783501529576,0.42317796305799704
35,arc1_sidecar,219,0.29338140988047745,0.38084163003146754
35,arc2_eval,103,0.3515231509517375,0.4555799763948429
35,arc2_train_other,94,0.41378005812612945,0.5034309923972965
