benchmark_label,human_metric,predictor,n,pearson_r,spearman_r
arc1_sidecar,human_difficulty_pc1,cyclomatic_complexity,17,0.46826131067407406,0.45098039215686275
arc1_sidecar,human_difficulty_pc1,structure_pc1,17,0.4207162226123674,0.4191176470588236
arc1_sidecar,latent_duration_log,cyclomatic_complexity,17,0.5183353512462685,0.44117647058823534
arc1_sidecar,latent_duration_log,structure_pc1,17,0.4822675807495327,0.4068627450980392
arc1_sidecar,latent_human_difficulty,cyclomatic_complexity,17,0.16083695960495326,0.10539215686274511
arc1_sidecar,latent_human_difficulty,structure_pc1,17,0.10408910352243536,0.06862745098039216
arc2_eval,human_difficulty_pc1,cyclomatic_complexity,19,-0.013663499076417528,-0.04217932700257223
arc2_eval,human_difficulty_pc1,structure_pc1,19,-0.004109328150366777,-0.05087719298245614
arc2_eval,latent_duration_log,cyclomatic_complexity,19,-0.17347476001734596,-0.19859433130377757
arc2_eval,latent_duration_log,structure_pc1,19,-0.16299254014188336,-0.19649122807017544
arc2_eval,latent_human_difficulty,cyclomatic_complexity,19,0.18810826942999087,0.19859433130377757
arc2_eval,latent_human_difficulty,structure_pc1,19,0.17339702713458624,0.1754385964912281
arc2_train_other,human_difficulty_pc1,cyclomatic_complexity,2,,
arc2_train_other,human_difficulty_pc1,structure_pc1,2,,
arc2_train_other,latent_duration_log,cyclomatic_complexity,2,,
arc2_train_other,latent_duration_log,structure_pc1,2,,
arc2_train_other,latent_human_difficulty,cyclomatic_complexity,2,,
arc2_train_other,latent_human_difficulty,structure_pc1,2,,
