source_family,split,model_name,task_ID,task_score,task_cost,task_attempts,task_output_tokens,task_total_tokens,task_duration_seconds,task_empty_attempts
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,da515329,0.0,0.41581500000000005,2.0,13621.0,28679.0,169.472605,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,e12f9a14,0.0,1.42998,4.0,49184.0,89260.0,517.665315,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,88e364bc,0.0,1.3020150000000001,4.0,45203.0,79591.0,558.5392770000001,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,a251c730,1.0,0.556125,2.0,18535.0,37085.0,213.671258,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,9385bd28,0.0,1.33,4.0,49200.0,69200.0,609.247611,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,409aa875,0.0,0.423555,2.0,14713.0,25859.0,206.003957,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,abc82100,0.0,0.41498999999999997,2.0,14320.0,25718.0,205.867778,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,a6f40cea,0.0,0.5800500000000001,2.0,19972.0,36122.0,284.077895,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,d59b0160,0.0,0.518405,2.0,18507.0,29653.0,216.472985,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,62593bfd,0.0,1.23578,4.0,41026.0,83052.0,479.942968,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,9aaea919,1.0,0.7821950000000001,2.0,23649.0,61843.0,282.029428,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,b9e38dc0,0.0,0.554225,2.0,20229.0,29929.0,277.50518999999997,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,64efde09,0.0,0.5676050000000001,2.0,18453.0,39709.0,240.034519,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,2b83f449,0.0,0.70651,2.0,26786.0,34158.0,299.060897,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,eee78d87,0.0,0.629255,2.0,23997.0,29863.0,322.33966,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,195c6913,0.0,1.22659,4.0,38826.0,90014.0,501.201533,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,db695cfb,0.0,0.5721499999999999,2.0,20490.0,32470.0,266.394454,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,67e490f4,0.0,0.54529,2.0,18152.0,36450.0,229.761156,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,6e4f6532,0.0,1.036335,4.0,34859.0,67831.0,445.619374,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,e87109e9,0.0,0.62331,2.0,20188.0,43910.0,233.953532,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,581f7754,0.5,1.09787,4.0,40270.0,58494.0,475.59229700000003,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,a25697e4,0.0,1.0174400000000001,4.0,32080.0,75168.0,409.81687,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,97d7923e,0.0,0.6204200000000001,2.0,23538.0,29932.0,313.14285700000005,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,58f5dbd5,1.0,0.5814,2.0,20740.0,33320.0,216.002465,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,1ae2feb7,0.6666666666666666,1.63817,6.0,60824.0,84338.0,794.957081,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,16de56c4,0.0,1.420465,4.0,54321.0,66809.0,586.4923679999999,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,b5ca7ac4,0.0,0.76396,2.0,26414.0,47136.0,287.785715,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,291dc1e1,0.0,0.6237999999999999,2.0,23450.0,30960.0,321.158053,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,446ef5d2,0.0,0.9770100000000002,4.0,36014.0,51346.0,445.633538,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,dd6b8c4b,0.0,1.29536,4.0,49624.0,60576.0,628.827978,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,38007db0,1.0,1.150455,4.0,41471.0,64207.0,408.122066,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,28a6681f,0.0,0.5738700000000001,2.0,22036.0,26630.0,251.110094,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,8b7bacbf,0.0,1.1877550000000001,4.0,40503.0,75539.0,468.93458799999996,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,edb79dae,1.0,0.6325,2.0,22256.0,37476.0,228.272674,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,31f7f899,1.0,0.523495,2.0,19451.0,26895.0,225.24461300000002,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,4c3d4a41,0.5,1.30773,4.0,50246.0,60562.0,540.130403,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,de809cff,0.0,0.7570650000000001,2.0,27211.0,42569.0,276.082503,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,898e7135,0.0,0.46806000000000003,2.0,15682.0,30884.0,214.28916600000002,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,fc7cae8d,0.0,0.513385,2.0,17357.0,33249.0,212.225112,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,6e453dd6,1.0,0.6029800000000001,2.0,22202.0,31788.0,223.099389,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,c4d067a0,1.0,0.58311,2.0,18562.0,42374.0,237.061614,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,8698868d,1.0,0.547005,2.0,18895.0,33821.0,225.373895,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,8b9c3697,1.0,0.7942650000000001,2.0,27937.0,47105.0,353.942972,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,89565ca0,0.0,0.48302,2.0,16134.0,32068.0,220.129302,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,53fb4810,1.0,0.63269,2.0,23172.0,33850.0,232.053022,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,e3721c99,0.0,1.213505,4.0,37597.0,92313.0,431.147636,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,e8686506,0.0,0.62838,2.0,24310.0,28436.0,348.79077199999995,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,35ab12c3,0.0,0.46819000000000005,2.0,15842.0,30270.0,200.17080800000002,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,20270e3b,0.0,1.3470300000000002,4.0,52436.0,59662.0,587.780721,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,88bcf3b4,0.0,0.9848850000000001,4.0,34571.0,58693.0,487.444526,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,7491f3cf,0.0,0.7234,2.0,26960.0,36840.0,295.98476800000003,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,7b80bb43,0.0,0.547525,2.0,18473.0,35613.0,189.91792900000002,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,dfadab01,0.0,0.6200750000000002,2.0,21837.0,36667.0,255.413763,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,a47bf94d,0.0,0.46836,2.0,14518.0,35600.0,197.109902,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,3dc255db,0.0,0.6750050000000001,2.0,25803.0,31789.0,336.591765,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,2c181942,0.0,0.595045,2.0,19763.0,39957.0,248.931646,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,6ffbe589,0.0,0.584915,2.0,20955.0,33163.0,243.36754399999998,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,faa9f03d,0.0,0.60253,2.0,22460.0,30666.0,267.437725,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,332f06d7,0.0,0.456585,2.0,16027.0,27209.0,196.05050799999998,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,2ba387bc,1.0,0.46158,2.0,15070.0,32036.0,170.10789599999998,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,800d221b,0.0,0.540505,2.0,18647.0,33513.0,239.375631,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,5dbc8537,0.0,1.1693799999999999,4.0,43218.0,61004.0,584.099504,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,b99e7126,0.0,0.59028,2.0,16468.0,52184.0,217.359406,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,71e489b6,0.5,1.470405,4.0,53933.0,78349.0,581.945771,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,3a25b0d8,0.0,1.14265,4.0,40710.0,65690.0,515.5928289999999,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,5545f144,0.0,0.545635,2.0,20219.0,28251.0,253.98456900000002,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,7c66cb00,0.0,0.69642,2.0,21730.0,52364.0,267.213068,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,cb2d8a2c,0.0,1.0262700000000002,4.0,34322.0,67966.0,434.48985,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,135a2760,0.0,0.6724650000000001,2.0,24553.0,36281.0,230.447622,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,78332cb0,0.0,0.9530800000000001,4.0,36300.0,45416.0,367.293649,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,221dfab4,0.0,1.211275,4.0,40353.0,80843.0,514.526057,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,271d71e2,0.0,0.44952000000000003,2.0,15898.0,26312.0,196.11077,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,4c416de3,0.0,0.6700699999999999,2.0,22836.0,42670.0,277.645204,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,4e34c42c,0.0,1.06183,4.0,37998.0,60374.0,484.05589299999997,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,20a9e565,0.0,1.0155500000000002,4.0,31804.0,75894.0,462.09432499999997,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,f560132c,0.0,0.5189650000000001,2.0,18719.0,28917.0,247.741228,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,3e6067c3,0.5,1.4629500000000002,4.0,49604.0,94174.0,513.292242,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,7666fa5d,0.0,0.5825899999999999,2.0,21696.0,29734.0,243.46939500000002,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,dbff022c,0.0,0.57938,2.0,22164.0,27220.0,266.367863,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,db0c5428,1.0,0.51925,2.0,18086.0,31506.0,210.970268,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,45a5af55,1.0,0.6203799999999999,2.0,22634.0,33540.0,219.567456,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,7b0280bc,0.0,0.561335,2.0,19017.0,36199.0,231.427703,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,0934a4d8,0.0,0.77214,2.0,25288.0,53276.0,312.602155,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,80a900e0,0.0,0.68455,2.0,24356.0,39486.0,265.254912,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,4a21e3da,0.0,0.5559149999999999,2.0,19345.0,33803.0,242.572766,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,f931b4a8,0.5,1.01441,4.0,37990.0,50922.0,458.733488,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,142ca369,0.0,1.2703650000000002,4.0,44417.0,76405.0,538.709931,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,7ed72f31,1.0,1.212455,4.0,43915.0,66831.0,437.821205,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,aa4ec2a5,0.0,0.6387200000000001,2.0,20982.0,43816.0,241.09328,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,21897d95,0.0,1.00069,4.0,35598.0,57746.0,440.121132,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,2d0172a1,0.0,0.9464600000000001,4.0,31552.0,63084.0,404.931196,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,7b3084d4,0.0,0.560755,2.0,20249.0,31155.0,247.926607,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,b10624e5,0.0,0.73324,2.0,24884.0,47112.0,297.81476599999996,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,58490d8a,1.0,0.43438,2.0,14780.0,27756.0,157.48235,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,269e22fb,0.0,0.8507750000000001,4.0,27487.0,60207.0,323.322622,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,1818057f,1.0,0.669955,2.0,24893.0,34419.0,221.28497299999998,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,b6f77b65,0.0,1.0281500000000001,4.0,37138.0,57078.0,497.512,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,16b78196,0.0,0.50749,2.0,14828.0,42186.0,181.076598,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,136b0064,0.0,0.472725,2.0,17617.0,24077.0,232.033888,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,65b59efc,0.5,1.0620150000000002,4.0,38471.0,58519.0,499.69535800000006,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,8e5c0c38,0.0,1.3633300000000002,4.0,48582.0,78338.0,552.409944,0.0
llm,arc_agi_v2_public_eval,claude-opus-4-5-20251101-thinking-16k,981571dc,1.0,0.917,2.0,26874.0,75904.0,312.988692,0.0
