source_family,subtype,label,performance_rate,final_top1_rate,final_top2_rate,oracle_rate,primary_effort,secondary_effort,guess_number_mean,guess_number_median,task_count,iterations,split,pass1_rate,pass2_rate,pass3_rate,pass4_rate,candidate_count_min,candidate_count_max,candidate_count_unique,attempt_dir_count,step,pair1_rate,pair2_rate,pair_count,kaggle_score
non_llm,compress_arc,Compress ARC,0.2025,0.1875,0.2025,0.3425,2000.0,43.613138686131386,43.613138686131386,1.0,400.0,2000.0,,,,,,,,,,,,,,
non_llm,varc,ARC-1_Unet,0.3675,,,0.6225,510.0,4.0,,,400.0,,ARC-1,0.3,0.35,0.3675,0.3675,510.0,510.0,1.0,4.0,,,,,
non_llm,varc,ARC-1_ViT,0.45,,,0.7025,510.0,4.0,,,400.0,,ARC-1,0.3,0.3975,0.425,0.45,510.0,510.0,1.0,4.0,,,,,
non_llm,varc,ARC-2_Unet,0.03333333333333333,,,0.09166666666666666,510.0,4.0,,,120.0,,ARC-2,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,510.0,510.0,1.0,4.0,,,,,
non_llm,varc,ARC-2_ViT,0.04166666666666666,,,0.125,510.0,4.0,,,120.0,,ARC-2,0.025,0.04166666666666666,0.04166666666666666,0.04166666666666666,510.0,510.0,1.0,4.0,,,,,
non_llm,trm,evaluator_ARC_step_72391,0.029940119760479042,,,0.029166666666666664,72391.0,167.0,,,120.0,,,,,,,,,,,72391.0,0.017964071856287425,0.029940119760479042,167.0,0.029166666666666664
non_llm,trm,evaluator_ARC_step_144783,0.04790419161676647,,,0.05416666666666667,144783.0,167.0,,,120.0,,,,,,,,,,,144783.0,0.03592814371257485,0.04790419161676647,167.0,0.05416666666666667
non_llm,trm,evaluator_ARC_step_217174,0.041916167664670656,,,0.04583333333333333,217174.0,167.0,,,120.0,,,,,,,,,,,217174.0,0.03592814371257485,0.041916167664670656,167.0,0.04583333333333333
non_llm,trm,evaluator_ARC_step_289565,0.04790419161676647,,,0.05416666666666667,289565.0,167.0,,,120.0,,,,,,,,,,,289565.0,0.041916167664670656,0.04790419161676647,167.0,0.05416666666666667
non_llm,trm,evaluator_ARC_step_361957,0.04790419161676647,,,0.05,361957.0,167.0,,,120.0,,,,,,,,,,,361957.0,0.04790419161676647,0.04790419161676647,167.0,0.05
non_llm,trm,evaluator_ARC_step_434348,0.059880239520958084,,,0.05833333333333333,434348.0,167.0,,,120.0,,,,,,,,,,,434348.0,0.05389221556886228,0.059880239520958084,167.0,0.05833333333333333
non_llm,trm,evaluator_ARC_step_506739,0.059880239520958084,,,0.0625,506739.0,167.0,,,120.0,,,,,,,,,,,506739.0,0.05389221556886228,0.059880239520958084,167.0,0.0625
non_llm,trm,evaluator_ARC_step_579130,0.0718562874251497,,,0.075,579130.0,167.0,,,120.0,,,,,,,,,,,579130.0,0.059880239520958084,0.0718562874251497,167.0,0.075
non_llm,trm,evaluator_ARC_step_651522,0.09580838323353294,,,0.10416666666666669,651522.0,167.0,,,120.0,,,,,,,,,,,651522.0,0.0658682634730539,0.09580838323353294,167.0,0.10416666666666669
non_llm,trm,evaluator_ARC_step_723914,0.09580838323353294,,,0.1,723914.0,167.0,,,120.0,,,,,,,,,,,723914.0,0.059880239520958084,0.09580838323353294,167.0,0.1
