group,metric_x,metric_y,n,pearson_r,pearson_p,spearman_r,spearman_p
shared_arc2,human_solve_rate,human_mean_duration_seconds,115,-0.3216303242542363,0.00045654953574610454,-0.3706369111814972,4.5538104019837716e-05
shared_arc2,human_solve_rate,human_mean_submissions,115,-0.12208945563826719,0.1936595104110606,-0.18128799810685967,0.052506504991386274
shared_arc2,human_solve_rate,llm_mean_score,115,0.4404783943149792,8.381197785979762e-07,0.42752762455697924,1.884159092910063e-06
shared_arc2,human_solve_rate,llm_median_score,115,0.2702097278134485,0.003494106882472658,0.25490345650468427,0.005973325445854378
shared_arc2,human_solve_rate,llm_mean_duration_seconds,115,-0.28371199123285035,0.0021218115052161436,-0.3316532905841195,0.0002937269740982061
shared_arc2,human_solve_rate,llm_mean_cost,115,-0.31083528268942173,0.0007220102370169201,-0.357343267288881,8.837368762581882e-05
shared_arc2,human_solve_rate,llm_mean_total_tokens,115,-0.20687419393857837,0.026534511966510754,-0.1838855249005692,0.04915791536874031
shared_arc2,human_solve_rate,llm_mean_attempts,115,-0.17376750676717836,0.06327591027629446,-0.16228085275940823,0.08313791397136505
shared_arc2,human_solve_rate,trm_best_task_score,115,0.07123919732704484,0.44930658217820424,0.054577597195002936,0.5623747601964393
shared_arc2,human_mean_duration_seconds,human_mean_submissions,115,0.04997307310582895,0.595849379143123,0.08511495298876554,0.3657687093638803
shared_arc2,human_mean_duration_seconds,llm_mean_score,115,-0.19289893002306396,0.03888013390470524,-0.2192801010427026,0.018544602256404072
shared_arc2,human_mean_duration_seconds,llm_median_score,115,-0.1061979227512961,0.25864377739232036,-0.13483974883003919,0.15078359762900279
shared_arc2,human_mean_duration_seconds,llm_mean_duration_seconds,115,0.14856091257581044,0.11307076904517738,0.11234908861358796,0.2319163358586756
shared_arc2,human_mean_duration_seconds,llm_mean_cost,115,0.1869090779520007,0.04548480872471811,0.17224019569162788,0.0656693347343891
shared_arc2,human_mean_duration_seconds,llm_mean_total_tokens,115,0.08568878147902796,0.36253382328633077,0.07769273258107788,0.4091964744882154
shared_arc2,human_mean_duration_seconds,llm_mean_attempts,115,-0.032645114836124006,0.7290813391741915,-0.04487362683157727,0.6339325548794814
shared_arc2,human_mean_duration_seconds,trm_best_task_score,115,-0.06889233915444452,0.46442061453538747,-0.05091921090826238,0.5888982577631613
shared_arc2,human_mean_submissions,llm_mean_score,115,-0.06353006933530524,0.499978624548891,-0.028122978243019067,0.7654362364390742
shared_arc2,human_mean_submissions,llm_median_score,115,-0.21874447224973845,0.018840803508904998,-0.26723784550844226,0.003886830061674752
shared_arc2,human_mean_submissions,llm_mean_duration_seconds,115,-0.08484917524863483,0.36727300173280514,-0.03411939017842336,0.7173534974999589
shared_arc2,human_mean_submissions,llm_mean_cost,115,-0.08617503167842153,0.35980653138311425,-0.025744451374650732,0.7847703624136071
shared_arc2,human_mean_submissions,llm_mean_total_tokens,115,-0.058401322585131504,0.5352761008889342,-0.03372077150774426,0.7205181587425369
shared_arc2,human_mean_submissions,llm_mean_attempts,115,-0.1676120981624485,0.07337469213049595,-0.1222267432212187,0.19315513437088003
shared_arc2,human_mean_submissions,trm_best_task_score,115,-0.019892268129335703,0.832878454165704,-0.029984221061760186,0.7504061778236257
shared_arc2,llm_mean_score,llm_median_score,115,0.7464997977312864,1.0133422463738988e-21,0.5681613996178054,3.5286843878513446e-11
shared_arc2,llm_mean_score,llm_mean_duration_seconds,115,-0.4645230996357285,1.69951968900646e-07,-0.4251340803158556,2.180522482257471e-06
shared_arc2,llm_mean_score,llm_mean_cost,115,-0.4723647818378339,9.831076980649556e-08,-0.45867756977082774,2.533450624868525e-07
shared_arc2,llm_mean_score,llm_mean_total_tokens,115,-0.34248519026225627,0.0001792579135272763,-0.3181138092417089,0.0005310643999532159
shared_arc2,llm_mean_score,llm_mean_attempts,115,-0.0647647837770964,0.49166680671873575,-0.027603970655424435,0.7696432239271436
shared_arc2,llm_mean_score,trm_best_task_score,115,0.0537474359152446,0.5683432854409831,0.01846187685804955,0.8447389677026098
shared_arc2,llm_median_score,llm_mean_duration_seconds,115,-0.3295882089441996,0.0003220668232784779,-0.29659876881640024,0.0012878725130990734
shared_arc2,llm_median_score,llm_mean_cost,115,-0.31467917435183235,0.0006144886613607206,-0.315437390764857,0.000595099941440254
shared_arc2,llm_median_score,llm_mean_total_tokens,115,-0.22881463107758074,0.013905993996309698,-0.2021622660256869,0.030258534200277378
shared_arc2,llm_median_score,llm_mean_attempts,115,0.015516319721820852,0.8692697329156501,0.05859191818346852,0.5339425434887017
shared_arc2,llm_median_score,trm_best_task_score,115,0.11879986283850963,0.20603173170363195,0.10994293076386506,0.2421312164945357
shared_arc2,llm_mean_duration_seconds,llm_mean_cost,115,0.9384922716740365,5.220920415660177e-54,0.9419001025802889,2.294475113609515e-55
shared_arc2,llm_mean_duration_seconds,llm_mean_total_tokens,115,0.7278996930928857,3.0978869324693145e-20,0.7109603093190249,5.509701072796408e-19
