task_pair_id,Human,LLM average,gpt-5-2-2025-12-11-thinking-xhigh,TRM 651522 pass@2,VARC ARC-2_ViT pass@2,rescued_by_trm,rescued_by_varc,rescued_by_any_nonllm
135a2760__0,0.8888888888888888,0.07692307692307693,0.0,1.0,0.0,True,False,True
aa4ec2a5__0,0.8,0.07692307692307693,1.0,0.0,1.0,False,True,True
71e489b6__1,0.7777777777777778,0.02564102564102564,0.0,1.0,1.0,True,True,True
7666fa5d__0,0.7777777777777778,0.07692307692307693,1.0,1.0,1.0,True,True,True
7b80bb43__0,0.7777777777777778,0.0,0.0,1.0,0.0,True,False,True
4c416de3__0,0.75,0.0,0.0,1.0,0.0,True,False,True
8698868d__0,0.9,0.07692307692307693,0.0,0.0,0.0,False,False,False
a47bf94d__0,0.9,0.02564102564102564,0.0,0.0,0.0,False,False,False
78332cb0__1,0.8888888888888888,0.0,0.0,0.0,0.0,False,False,False
9385bd28__1,0.8888888888888888,0.07692307692307693,1.0,0.0,0.0,False,False,False
a25697e4__1,0.8888888888888888,0.0,0.0,0.0,0.0,False,False,False
3dc255db__0,0.875,0.07692307692307693,0.0,0.0,0.0,False,False,False
28a6681f__0,0.8,0.0,0.0,0.0,0.0,False,False,False
64efde09__0,0.8,0.05128205128205128,0.0,0.0,0.0,False,False,False
de809cff__0,0.8,0.0,0.0,0.0,0.0,False,False,False
e3721c99__1,0.8,0.05128205128205128,0.0,0.0,0.0,False,False,False
2c181942__0,0.7777777777777778,0.07692307692307693,1.0,0.0,0.0,False,False,False
332f06d7__0,0.7777777777777778,0.05128205128205128,1.0,0.0,0.0,False,False,False
3a25b0d8__1,0.7777777777777778,0.0,0.0,0.0,0.0,False,False,False
800d221b__0,0.7777777777777778,0.02564102564102564,1.0,0.0,0.0,False,False,False
5961cc34__0,0.75,0.07692307692307693,1.0,0.0,0.0,False,False,False
8b7bacbf__1,0.7,0.02564102564102564,0.0,0.0,0.0,False,False,False
