threshold,n_pairs,system,kind,family,pair_accuracy,human_pearson,human_spearman,bootstrap_ci_lo,bootstrap_ci_hi,percentile_vs_human_split,corr_with_llm_average,corr_with_human_residual,partial_corr_raw_features,partial_corr_given_llm_average
8,110,Family Claude Opus,LLM family,,0.13030303030303028,0.48863420991974993,0.4452132634447895,0.3278545241232908,0.6165903056761473,0.9373333333333334,0.7734188624301337,0.02706766706392787,0.504373666585428,0.30635198325810165
8,110,claude-opus-4-5-20251101-thinking-16k,LLM,Claude Opus,0.16363636363636364,0.43850036730211284,0.42627383705878746,0.2601231093492264,0.5876322109610823,0.7483333333333333,0.6542873543548685,0.049728924137694384,0.44092431971408763,0.2535260304887562
8,110,claude-opus-4-5-20251101-thinking-64k,LLM,Claude Opus,0.2909090909090909,0.4296310739400061,0.42430180005072393,0.2671088086120443,0.5729788213597429,0.694,0.5697267580475296,0.09433628193369582,0.43839788926524614,0.26666282792846263
8,110,LLM average,LLM aggregate,,0.10815850815850812,0.4018650115562444,0.4541522048363888,0.2150639614994091,0.5600677558969557,0.5163333333333333,1.0,-0.21046514459819798,0.4577513485243964,
8,110,Family Gemini,LLM family,,0.1545454545454545,0.3676503118453882,0.387613025328825,0.1675981051260535,0.5440075807625389,0.30533333333333335,0.8910314742103477,-0.17730778398241975,0.41586972011304935,0.023037148115341126
8,110,claude-opus-4-5-20251101-thinking-32k,LLM,Claude Opus,0.2,0.3512253950788342,0.33900045731696465,0.1372645076916276,0.5384471388707388,0.22166666666666668,0.672863159810249,-0.055325117393014114,0.34591855057264764,0.11931617721603381
8,110,gemini-3-flash-preview-thinking-high,LLM,Gemini,0.24545454545454545,0.3222218755082599,0.3094198704819107,0.12907300567511926,0.4963797724019898,0.11533333333333333,0.7343545190738044,-0.12561283745383128,0.3541040309129036,0.04361787285933873
8,110,claude-opus-4-5-20251101-thinking-8k,LLM,Claude Opus,0.08181818181818182,0.3209886336953241,0.3078339652112615,0.12187702607624613,0.4723668507279502,0.11133333333333334,0.6131869032658495,-0.04944315087057966,0.3298924491493782,0.10309084390603517
8,110,Family Claude Sonnet,LLM family,,0.04181818181818182,0.31055652317489507,0.3024961924224867,0.1716947990812421,0.43435068024241746,0.08433333333333333,0.7206465081315697,-0.1293005543064115,0.33605863200764147,0.03300573476736663
8,110,claude-sonnet-4-5-20250929-thinking-32k,LLM,Claude Sonnet,0.08181818181818182,0.3070668662823963,0.293698732114826,0.12000525488617972,0.46503483378686067,0.07566666666666666,0.588668342975321,-0.04862650817529624,0.3177776661567404,0.09524318864959068
8,110,gpt-5-2-2025-12-11-thinking-medium,LLM,GPT,0.22727272727272727,0.3057816642556536,0.2865940322584858,0.12714309198735674,0.4747933832369406,0.073,0.6676828673616049,-0.10052812349933161,0.39250188102415207,0.054956619281578384
8,110,gemini-3-pro-preview,LLM,Gemini,0.21818181818181817,0.28947298023093804,0.29045080401524326,0.08948890322467647,0.4779770055998711,0.042,0.7068397514648129,-0.14297999617260695,0.31631071868045924,0.008365708631347703
8,110,Family GPT,LLM family,,0.14545454545454545,0.28713999737555573,0.31739219580764944,0.08124218017556482,0.47969815031082824,0.039,0.9219282130073706,-0.2830190649632683,0.36127299729992524,-0.23498540025362596
8,110,gpt-5-2-2025-12-11-thinking-xhigh,LLM,GPT,0.4909090909090909,0.2762636892631836,0.2764117787817283,0.09974957822770116,0.44571375850544287,0.025666666666666667,0.5787686808661097,-0.07518121835375591,0.3455115574535325,0.058489592788504116
8,110,gpt-5-2-pro-2025-12-11-medium,LLM,GPT,0.3,0.27334499570249615,0.2724194251374723,0.08932853635251697,0.44243839390029166,0.023333333333333334,0.7398364852118728,-0.18129955766322647,0.31385250335720527,-0.0389069407938892
8,110,gpt-5-2-pro-2025-12-11-high,LLM,GPT,0.4636363636363636,0.273262706718708,0.27076946172503263,0.09462181281254796,0.43284983592833937,0.023,0.6161050426489383,-0.10226155344703786,0.31759426995103474,0.0355926257137979
8,110,claude-sonnet-4-5-20250929-thinking-8k,LLM,Claude Sonnet,0.03636363636363636,0.24641725657798072,0.23992889911095225,0.11590188430742554,0.36946040126495755,0.009666666666666667,0.5934916303327701,-0.11646058724173439,0.26497384466321217,0.01073789616924003
8,110,gemini-3-flash-preview-thinking-medium,LLM,Gemini,0.09090909090909091,0.24565193160809948,0.2385882483227626,0.03749069052466266,0.41616238947180595,0.009666666666666667,0.6768519092633353,-0.17058627707179133,0.2427308278638729,-0.03909300254470018
8,110,Family Claude Haiku,LLM family,,0.014545454545454544,0.2391371899201842,0.22875642245893724,0.02968450038752119,0.3823389592266013,0.006333333333333333,0.6069541157609961,-0.13284201165318973,0.28193353777135893,-0.0065633808793193
8,110,gemini-3-deep-think-preview,LLM,Gemini,0.35454545454545455,0.23489073250605066,0.23486669484783784,0.05041272437958126,0.4074647686680307,0.004666666666666667,0.6163253930390512,-0.14336843654094755,0.29940169514994586,-0.01773510807657268
8,110,gpt-5-2-2025-12-11-thinking-high,LLM,GPT,0.2909090909090909,0.22448304523482848,0.21167699630229714,0.03283730578814089,0.4080044107120232,0.0026666666666666666,0.7287875280607994,-0.22639886748693136,0.25853397481633783,-0.10907410271474995
