task_index,task_id,status,exact_match,duration_seconds,error
1,007bbfb7,ok,False,18.306,
2,00d62c1b,ok,False,36.51,
3,017c7c7b,ok,False,8.908,
4,025d127b,ok,True,24.977,
5,045e512c,ok,False,51.318,
6,0520fde7,ok,False,9.112,
7,05269061,ok,False,10.857,
8,05f2a901,ok,False,18.301,
9,06df4c85,ok,False,63.533,
10,08ed6ac7,ok,True,16.812,
11,09629e4f,ok,False,12.644,
12,0962bcdd,ok,False,15.666,
13,0a938d79,ok,False,19.131,
14,0b148d64,ok,False,12.31,
15,0ca9ddb6,ok,False,10.029,
16,0d3d703e,ok,False,4.296,
17,0dfd9992,ok,True,29.209,
18,0e206a2e,ok,False,49.091,
19,10fcaaa3,ok,False,25.511,
20,11852cab,ok,False,8.893,
21,1190e5a7,ok,False,2.178,
22,137eaa0f,ok,False,4.904,
23,150deff5,ok,False,15.747,
24,178fcbfb,ok,False,19.59,
25,1a07d186,ok,False,56.915,
26,1b2d62fb,ok,False,9.014,
27,1b60fb0c,ok,False,17.071,
28,1bfc4729,ok,True,20.699,
29,1c786137,ok,False,27.537,
30,1caeab9d,ok,False,15.007,
31,1cf80156,ok,False,8.279,
32,1e0a9b12,ok,False,5.458,
33,1e32b0e9,ok,False,22.677,
34,1f0c79e5,ok,False,18.067,
35,1f642eb9,ok,False,21.344,
36,1f85a75f,ok,False,13.111,
37,1f876c06,ok,False,17.574,
38,1fad071e,ok,False,9.813,
39,2013d3e2,ok,False,14.733,
40,2204b7a8,ok,False,25.007,
41,22168020,ok,True,22.761,
42,22233c11,ok,False,23.868,
43,2281f1f4,ok,False,28.706,
44,228f6490,ok,False,19.812,
45,22eb0ac0,ok,True,20.002,
46,234bbc79,ok,False,14.518,
47,23581191,ok,False,15.121,
48,239be575,ok,True,12.04,
49,23b5c85d,ok,True,12.801,
50,253bf280,ok,False,25.476,
51,25d487eb,ok,False,25.257,
52,25d8a9c8,ok,False,20.603,
53,25ff71a9,ok,True,21.067,
54,264363fd,ok,False,63.803,
55,272f95fa,ok,True,28.227,
56,27a28665,ok,True,16.169,
57,28bf18c6,ok,False,19.925,
58,28e73c20,ok,False,37.267,
59,29623171,ok,False,15.229,
60,29c11459,ok,True,15.471,
61,29ec7d0e,ok,False,21.109,
62,2bcee788,ok,False,11.428,
63,2bee17df,ok,False,11.642,
64,2c608aff,ok,False,40.03,
65,2dc579da,ok,False,7.017,
66,2dd70a9a,ok,False,18.15,
67,2dee498d,ok,True,11.242,
68,31aa019c,ok,False,20.387,
69,321b1fc6,ok,True,16.048,
70,32597951,ok,False,26.774,
71,3345333e,ok,False,21.191,
72,3428a4f5,ok,False,11.93,
