session_ID,attempts,total_solved,solve_rate,total_duration_seconds,mean_duration_seconds,median_duration_seconds,total_submissions,mean_submissions,mean_pred_prob,outfit,session_mix,tasks_per_minute,ability,ability_rank,source_family,subtype,label,performance_rate,primary_effort,secondary_effort,effort_ratio,effort_per_success_seconds,log_tasks_per_minute,log_ability
7cRvQY7P1j8pDpqyuqRV,35,35,1.0,3714.547,106.12991428571428,79.817,58,1.6571428571428573,0.965558838961568,0.0375313752598254,Mixed,0.5653448455491342,2.400310802840881,1.0,human,Mixed,7cRvQY7P1j8pDpqyuqRV,1.0,106.12991428571428,1.6571428571428573,0.015614286210404662,106.12991428571429,0.4481061483126268,1.980505087486558
5r3nPk3wsYHzsfwXCKgz,36,36,1.0,3389.474,94.15205555555556,68.681,47,1.3055555555555556,0.9680452408889698,0.0341274429805797,Mixed,0.6372670213726378,2.290198070401836,2.0,human,Mixed,5r3nPk3wsYHzsfwXCKgz,1.0,94.15205555555556,1.3055555555555556,0.013866458335423135,94.15205555555556,0.4930284013805907,1.9651929487698625
La3HHW071yEg7fKC9ELc,28,28,1.0,2624.029,93.71532142857144,76.5075,35,1.25,0.9589573478688648,0.0459484297648466,Mixed,0.640236826650925,2.287844628107853,3.0,human,Mixed,La3HHW071yEg7fKC9ELc,1.0,93.71532142857144,1.25,0.013338267221894268,93.71532142857143,0.49484063790495936,1.9648631092252467
yHKd9IICbb357h2yD01s,30,30,1.0,2880.876,96.0292,78.95949999999999,47,1.5666666666666669,0.9618179965641231,0.0420997110953291,Mixed,0.6248099536391015,2.280351556472118,4.0,human,Mixed,yHKd9IICbb357h2yD01s,1.0,96.0292,1.5666666666666669,0.016314482122798762,96.0292,0.48539085733562165,1.9638122153588133
hmvv4WXuyyVPrK9UvF6P,16,16,1.0,2630.924,164.43275,141.0465,23,1.4375,0.9286791788838628,0.0822653193760288,Mixed,0.3648908140257947,2.2716741863628167,5.0,human,Mixed,hmvv4WXuyyVPrK9UvF6P,1.0,164.43275,1.4375,0.008742175752701333,164.43275,0.3110744357128819,1.9625938435204946
1uFQTLtUJSfb9qng32V5,28,28,1.0,3194.807,114.10025,104.705,32,1.1428571428571428,0.9596782651592112,0.0455478441733843,Mixed,0.5258533614080599,2.2474671555665444,6.0,human,Mixed,1uFQTLtUJSfb9qng32V5,1.0,114.10025,1.1428571428571428,0.010016254503010667,114.10024999999999,0.4225538348033564,1.9591871160092234
jAFxvg3lhddghnDcbmlP,19,19,1.0,2163.272,113.85642105263156,116.744,26,1.368421052631579,0.9406584340665796,0.0672021865938034,Mixed,0.5269795014219202,2.244310214056179,7.0,human,Mixed,jAFxvg3lhddghnDcbmlP,1.0,113.85642105263156,1.368421052631579,0.012018830734184145,113.85642105263157,0.42329160206120503,1.9587419735302478
rb6SdC1rdDlo6XlD3ekj,31,31,1.0,2993.797,96.57409677419356,66.679,49,1.5806451612903225,0.9661853149384,0.03764557172563,Mixed,0.6212846094775297,2.0859737712917457,8.0,human,Mixed,rb6SdC1rdDlo6XlD3ekj,1.0,96.57409677419356,1.5806451612903225,0.016367175195913415,96.57409677419355,0.4832188038239206,1.9361577625302542
bI10rBSJEFMcM2Uc7KFb,36,35,0.9722222222222222,6618.584,183.84955555555555,139.0475,81,2.25,0.9437065620115316,0.1355293821204142,Mixed,0.3263537941046,2.0426043358089823,9.0,human,Mixed,bI10rBSJEFMcM2Uc7KFb,0.9722222222222222,183.84955555555555,2.25,0.0122382672789225,189.1024,0.2824336692256253,1.9298817581051
FBkif2UUax26itPhjxae,34,34,1.0,4189.775,123.22867647058824,94.997,41,1.2058823529411764,0.9704669502049696,0.0313640554200866,Mixed,0.486899654516054,1.997716755795785,10.0,human,Mixed,FBkif2UUax26itPhjxae,1.0,123.22867647058824,1.2058823529411764,0.00978572835056775,123.22867647058823,0.3966931833691768,1.923344313699582
