"item","rasch_difficulty"
"arc_agi_1_eval__009d5c81",-1.9393632595723
"arc_agi_1_eval__00dbd492",-1.14155416270299
"arc_agi_1_eval__03560426",0.801082539551851
"arc_agi_1_eval__05a7bcf2",3.26418859397227
"arc_agi_1_eval__0607ce86",-3.24995041329288
"arc_agi_1_eval__0692e18c",-0.370786576625411
"arc_agi_1_eval__070dd51e",-1.53513015398523
"arc_agi_1_eval__08573cc6",3.26418859397227
"arc_agi_1_eval__0a1d4ef5",-0.370786576625411
"arc_agi_1_eval__0a2355a6",2.63945909854169
"arc_agi_1_eval__0b17323b",-3.24995041329288
"arc_agi_1_eval__0bb8deee",-1.53513015398523
"arc_agi_1_eval__0becf7df",-0.754737460073497
"arc_agi_1_eval__0c786b71",-2.35781827854529
"arc_agi_1_eval__0c9aba6e",-1.14155416270299
"arc_agi_1_eval__0e671a1a",1.21274298451582
"arc_agi_1_eval__0f63c0b9",-0.370786576625411
"arc_agi_1_eval__103eff5b",1.21274298451582
"arc_agi_1_eval__11e1fe23",2.63945909854169
"arc_agi_1_eval__12422b43",-2.79359363252778
"arc_agi_1_eval__12997ef3",-1.9393632595723
"arc_agi_1_eval__12eac192",0.403273520448085
"arc_agi_1_eval__136b0064",3.26418859397227
"arc_agi_1_eval__13713586",1.64617936114661
"arc_agi_1_eval__137f0df0",0.0140027842888445
"arc_agi_1_eval__140c817e",-0.370786576625411
"arc_agi_1_eval__15113be4",4.07833309233538
"arc_agi_1_eval__15663ba9",4.07833309233538
"arc_agi_1_eval__15696249",0.0140027842888443
"arc_agi_1_eval__17b80ad2",0.801082539551852
"arc_agi_1_eval__17cae0c1",-1.53513015398523
"arc_agi_1_eval__18419cfa",4.07833309233538
"arc_agi_1_eval__195ba7dc",-2.79359363252778
"arc_agi_1_eval__1990f7a8",0.0140027842888447
"arc_agi_1_eval__19bb5feb",-5.52718817859225
"arc_agi_1_eval__1a2e2828",-3.7322645003928
"arc_agi_1_eval__1a6449f1",-0.370786576625411
"arc_agi_1_eval__1acc24af",4.07833309233538
"arc_agi_1_eval__1c02dbbe",-0.370786576625411
"arc_agi_1_eval__1c0d0a4b",0.0140027842888446
"arc_agi_1_eval__1c56ad9f",3.26418859397227
"arc_agi_1_eval__1d0a4b61",-4.25169110495353
"arc_agi_1_eval__1d398264",0.0140027842888445
"arc_agi_1_eval__1da012fc",-0.754737460073497
"arc_agi_1_eval__1e81d6f9",-1.14155416270299
"arc_agi_1_eval__1e97544e",-1.9393632595723
"arc_agi_1_eval__2037f2c7",2.11427015984054
"arc_agi_1_eval__2072aba6",-3.7322645003928
"arc_agi_1_eval__20818e16",1.64617936114661
"arc_agi_1_eval__20981f0e",4.07833309233538
"arc_agi_1_eval__21f83797",-2.79359363252778
"arc_agi_1_eval__22a4bbc2",1.64617936114661
"arc_agi_1_eval__2546ccf6",1.64617936114661
"arc_agi_1_eval__256b0a75",5.30813330128503
"arc_agi_1_eval__2685904e",0.0140027842888447
"arc_agi_1_eval__2697da3f",0.801082539551851
"arc_agi_1_eval__2753e76c",0.403273520448085
"arc_agi_1_eval__27a77e38",1.21274298451582
"arc_agi_1_eval__27f8ce4f",-0.370786576625411
"arc_agi_1_eval__281123b4",0.403273520448085
"arc_agi_1_eval__292dd178",0.801082539551851
"arc_agi_1_eval__29700607",-0.370786576625412
"arc_agi_1_eval__2a5f8217",0.403273520448085
"arc_agi_1_eval__2b01abd0",-1.14155416270299
"arc_agi_1_eval__2c0b0aff",0.801082539551851
"arc_agi_1_eval__2c737e39",0.403273520448085
"arc_agi_1_eval__2f0c5170",-0.754737460073497
"arc_agi_1_eval__310f3251",0.0140027842888444
"arc_agi_1_eval__3194b014",-3.7322645003928
"arc_agi_1_eval__319f2597",-0.754737460073497
"arc_agi_1_eval__31adaf00",4.07833309233538
"arc_agi_1_eval__31d5ba1a",-1.9393632595723
"arc_agi_1_eval__32e9702f",-1.9393632595723
"arc_agi_1_eval__332efdb3",-6.50742452721278
"arc_agi_1_eval__3391f8c0",2.63945909854169
"arc_agi_1_eval__33b52de3",-1.9393632595723
"arc_agi_1_eval__3490cc26",5.30813330128503
"arc_agi_1_eval__34b99a2b",-1.9393632595723
"arc_agi_1_eval__351d6448",3.26418859397227
"arc_agi_1_eval__358ba94e",0.0140027842888445
"arc_agi_1_eval__37d3e8b2",4.07833309233538
"arc_agi_1_eval__3979b1a8",-3.24995041329288
"arc_agi_1_eval__3a301edc",1.64617936114661
"arc_agi_1_eval__3b4c2228",-0.754737460073497
"arc_agi_1_eval__3d31c5b3",-0.754737460073497
"arc_agi_1_eval__3ee1011a",-2.35781827854529
"arc_agi_1_eval__3f23242b",-1.53513015398523
"arc_agi_1_eval__40f6cd08",4.07833309233538
"arc_agi_1_eval__414297c0",2.11427015984054
