subset_name,complexity_metric,target_metric,target_label,n,pearson_r,spearman_rho,abs_pearson_r
full_set,log1p_branch_opcode_count_dynamic,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.3045563911204199,0.2485852646235001,0.3045563911204199
full_set,call_count_static,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2927407624672387,0.272867084229861,0.2927407624672387
full_set,log1p_opcode_count_dynamic,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2890597393928157,0.23447400024831527,0.2890597393928157
full_set,nonblank_lines,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2883140174851798,0.26896185993101535,0.2883140174851798
full_set,halstead_volume,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.28669588056789064,0.26401154110312874,0.28669588056789064
full_set,token_count,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2866664910539491,0.26560313565523924,0.2866664910539491
full_set,ast_node_count,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.28480543777824724,0.26007395886469203,0.28480543777824724
full_set,gzip_bytes,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2811493887629953,0.261158611299237,0.2811493887629953
full_set,complexity_pc1_score,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.28100306897093275,0.27091433775011026,0.28100306897093275
full_set,function_count,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.28040313187628185,0.26637804323126535,0.28040313187628185
full_set,log1p_branch_opcode_count_dynamic,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.38838168095327363,0.31220413334045516,0.38838168095327363
full_set,complexity_pc1_score,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.3828878541928816,0.3114478741935609,0.3828878541928816
full_set,log1p_opcode_count_dynamic,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.37615727201696886,0.30354522349578883,0.37615727201696886
full_set,log1p_ast_node_count,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.3569376726035648,0.2892791036266927,0.3569376726035648
full_set,log1p_elapsed_ms_per_test,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.3540664587741231,0.3132530127155222,0.3540664587741231
full_set,log1p_cyclomatic_complexity,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.3446848940454941,0.2843629287594922,0.3446848940454941
full_set,log1p_elapsed_ms_total,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.34432355464355124,0.29973036167238937,0.34432355464355124
full_set,log1p_python_call_count_dynamic,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.34216554280284917,0.2933685204770996,0.34216554280284917
full_set,gzip_bytes,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.325071313175231,0.2925607378607293,0.325071313175231
full_set,cyclomatic_complexity,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.3198400254167465,0.2843629287594922,0.3198400254167465
