subset_family,subset_name,target_metric,target_label,n,human_mean_solve_rate,gpt_mean_pair_rate,claude_mean_pair_rate,pooled_mean_pair_rate,mean_human_pooled_gap,pc1_pearson_r,pc1_spearman_rho,best_metric,best_metric_category,best_metric_pearson_r,best_metric_spearman_rho,best_metric_human_pearson_r,best_metric_human_spearman_rho,best_metric_williams_p_vs_human
all_tasks,full_set,human_difficulty_complete,Human latent difficulty,391,0.7669198059982248,0.20971867007672634,0.3167092924126172,0.26321398124467177,0.5644135469332097,0.19260029497993006,0.1752313634483894,prim_shift_count,dsl_primitive_usage,-0.3703308695199887,-0.4008015971364691,,,
all_tasks,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.7669198059982248,0.20971867007672634,0.3167092924126172,0.26321398124467177,0.5644135469332097,0.3243363148165506,0.27451658579044325,prim_hmirror_count,dsl_primitive_usage,0.3370999312316211,0.337099931231621,-0.14076892421027573,-0.1563471919941143,0.06601781767288704
all_tasks,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.7669198059982248,0.20971867007672634,0.3167092924126172,0.26321398124467177,0.5644135469332097,0.281378674838782,0.2400518345435642,prim_hmirror_count,dsl_primitive_usage,0.4264014327112207,0.4264014327112208,-0.14076892421027573,-0.1563471919941143,0.01679678032057277
all_tasks,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.7669198059982248,0.20971867007672634,0.3167092924126172,0.26321398124467177,0.5644135469332097,0.3346791304228689,0.2855859881628326,prim_hmirror_count,dsl_primitive_usage,0.40409999389075674,0.4086514987502554,-0.14076892421027573,-0.1563471919941143,0.024411779981146572
matched_pooled_gap,gap_le_0.10,human_difficulty_complete,Human latent difficulty,38,0.8072930532071806,0.7763157894736842,0.8552631578947368,0.8157894736842105,0.021238802748498035,0.3245697249362788,0.28657402341612864,higher_order_count,dsl_structure,0.4121734746465534,0.3157265094605429,,,
matched_pooled_gap,gap_le_0.10,gpt_pair_difficulty,GPT pair-level smoothed difficulty,38,0.8072930532071806,0.7763157894736842,0.8552631578947368,0.8157894736842105,0.021238802748498035,0.3197582547481451,0.28282086082670305,mean_line_length,python_static,0.421562395074311,0.4412645393607641,0.39701471257021903,0.390873776368827,0.768208308753134
matched_pooled_gap,gap_le_0.10,claude_pair_difficulty,Claude pair-level smoothed difficulty,38,0.8072930532071806,0.7763157894736842,0.8552631578947368,0.8157894736842105,0.021238802748498035,0.24624293151510804,0.1724207245163537,max_dependency_depth,dsl_structure,0.36586180195838436,0.20492046521385357,0.41064943415592275,0.1879564793195774,0.5914020563925554
matched_pooled_gap,gap_le_0.10,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,38,0.8072930532071806,0.7763157894736842,0.8552631578947368,0.8157894736842105,0.021238802748498035,0.31900915741877117,0.3247489484986031,mean_line_length,python_static,0.41880390197563755,0.5596350623083549,0.39701471257021903,0.390873776368827,0.6790611117967368
matched_pooled_gap,gap_le_0.15,human_difficulty_complete,Human latent difficulty,49,0.7709995071165855,0.7448979591836735,0.8163265306122449,0.7806122448979592,0.04529044472653495,0.3353359040872372,0.25091836734693873,max_dependency_depth,dsl_structure,0.43563871740599697,0.19349513791448017,,,
matched_pooled_gap,gap_le_0.15,gpt_pair_difficulty,GPT pair-level smoothed difficulty,49,0.7709995071165855,0.7448979591836735,0.8163265306122449,0.7806122448979592,0.04529044472653495,0.3535288477877782,0.3190944064105786,mean_line_length,python_static,0.42182425975753085,0.43098126221677846,0.3539528440291133,0.33097747574561454,0.34907268491083765
matched_pooled_gap,gap_le_0.15,claude_pair_difficulty,Claude pair-level smoothed difficulty,49,0.7709995071165855,0.7448979591836735,0.8163265306122449,0.7806122448979592,0.04529044472653495,0.2630507575472987,0.14733336479563505,max_dependency_depth,dsl_structure,0.38900491800997683,0.20157445616447045,0.43563871740599697,0.19349513791448017,0.5178237941903547
matched_pooled_gap,gap_le_0.15,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,49,0.7709995071165855,0.7448979591836735,0.8163265306122449,0.7806122448979592,0.04529044472653495,0.3422218605401564,0.30674487070811923,max_dependency_depth,dsl_structure,0.4306944702597321,0.2950763540814447,0.43563871740599697,0.19349513791448017,0.9167066203221921
matched_pooled_gap,gap_le_0.20,human_difficulty_complete,Human latent difficulty,68,0.7646799601327465,0.7426470588235294,0.8382352941176471,0.7904411764705882,0.08149466202871775,0.2989094584327367,0.24369202580448138,max_dependency_depth,dsl_structure,0.38823731090436786,0.19163571839183385,,,
