subset_name,complexity_metric,left_target,right_target,n,left_r,right_r,difference_right_minus_left,williams_t,williams_p
full_set,log1p_cyclomatic_complexity,pooled_pair_difficulty,llm4_pair_difficulty,391,0.3220452302642782,0.37855736706732906,0.05651213680305084,-3.466818986939633,0.0005855896089940484
full_set,log1p_cyclomatic_complexity,human_difficulty_complete,llm4_pair_difficulty,391,0.06417602619693141,0.37855736706732906,0.31438134087039765,-5.4158308209391235,1.0720805366253531e-07
full_set,ast_node_count,pooled_pair_difficulty,llm4_pair_difficulty,391,0.32973674932779923,0.36415828690006585,0.034421537572266625,-2.0884525348270455,0.03740841710892497
full_set,ast_node_count,human_difficulty_complete,llm4_pair_difficulty,391,0.14321871640154485,0.36415828690006585,0.220939570498521,-3.7800284951821506,0.00018147513414021131
full_set,complexity_pc1_score,pooled_pair_difficulty,llm4_pair_difficulty,391,0.3652783352105745,0.4182235438524203,0.052945208641845765,-3.304012640148709,0.0010417126422692317
full_set,complexity_pc1_score,human_difficulty_complete,llm4_pair_difficulty,391,0.12518183293980645,0.4182235438524203,0.29304171091261383,-5.124474836991387,4.7145670487455667e-07
full_set,log1p_branch_opcode_count_dynamic,pooled_pair_difficulty,llm4_pair_difficulty,391,0.38206079334639564,0.43399939440404683,0.05193860105765119,-3.2663201698942297,0.0011864818427096409
full_set,log1p_branch_opcode_count_dynamic,human_difficulty_complete,llm4_pair_difficulty,391,0.11820489387860175,0.43399939440404683,0.3157945005254451,-5.5638681735593,4.926306955346784e-08
gap_le_0.30,log1p_cyclomatic_complexity,pooled_pair_difficulty,llm4_pair_difficulty,88,0.3668388117463754,0.46207002894412164,0.09523121719774624,-1.909772233567262,0.05953544336154608
gap_le_0.30,log1p_cyclomatic_complexity,human_difficulty_complete,llm4_pair_difficulty,88,0.3905012175528747,0.46207002894412164,0.07156881139124693,-1.1732897128021553,0.24395698311823608
gap_le_0.30,ast_node_count,pooled_pair_difficulty,llm4_pair_difficulty,88,0.44668782407991514,0.5428945340434482,0.09620670996353309,-2.0342362428338188,0.04504541157421687
gap_le_0.30,ast_node_count,human_difficulty_complete,llm4_pair_difficulty,88,0.47092038075382264,0.5428945340434482,0.07197415328962559,-1.2474927839780494,0.21564292886581657
gap_le_0.30,complexity_pc1_score,pooled_pair_difficulty,llm4_pair_difficulty,88,0.4021806690773231,0.5024482225019761,0.10026755342465299,-2.0623573721140636,0.04222701648801941
gap_le_0.30,complexity_pc1_score,human_difficulty_complete,llm4_pair_difficulty,88,0.42396058997516073,0.5024482225019761,0.07848763252681534,-1.3195854381755014,0.1905167354254054
gap_le_0.30,log1p_branch_opcode_count_dynamic,pooled_pair_difficulty,llm4_pair_difficulty,88,0.3670057231031179,0.4502124389409465,0.08320671583782857,-1.6548620303214314,0.10164055298448908
gap_le_0.30,log1p_branch_opcode_count_dynamic,human_difficulty_complete,llm4_pair_difficulty,88,0.3761943709005173,0.4502124389409465,0.07401806804042915,-1.2049011710307052,0.23158544831346978
