subset_name,complexity_metric,left_target,right_target,n,left_r,right_r,difference_right_minus_left,williams_t,williams_p
gemini_completed_set,complexity_pc1_score,llm4_pair_difficulty,llm5_pair_difficulty,156,0.396189307965589,0.4930019141533855,0.09681260618779652,-3.708146243563659,0.0002914580742121251
gemini_completed_set,complexity_pc1_score,human_difficulty_complete,llm5_pair_difficulty,156,0.13561209392978874,0.4930019141533855,0.3573898202235968,-3.900910598481707,0.00014315843735482762
gemini_completed_set,log1p_cyclomatic_complexity,llm4_pair_difficulty,llm5_pair_difficulty,156,0.328935350890637,0.4060762330469383,0.07714088215630127,-2.7898183751761882,0.005944909513233359
gemini_completed_set,log1p_cyclomatic_complexity,human_difficulty_complete,llm5_pair_difficulty,156,0.04800672870561985,0.4060762330469383,0.35806950434131846,-3.75213740369862,0.00024837672592333926
gemini_completed_set,ast_node_count,llm4_pair_difficulty,llm5_pair_difficulty,156,0.3089742527758397,0.43246867363620217,0.1234944208603625,-4.662697228715274,6.749917393038925e-06
gemini_completed_set,ast_node_count,human_difficulty_complete,llm5_pair_difficulty,156,0.16294469091164512,0.43246867363620217,0.269523982724557,-2.85569653657338,0.004891056377546726
gemini_completed_set,log1p_branch_opcode_count_dynamic,llm4_pair_difficulty,llm5_pair_difficulty,156,0.47733459528882083,0.5436009779096683,0.0662663826208475,-2.5925664230265033,0.01044979140738558
gemini_completed_set,log1p_branch_opcode_count_dynamic,human_difficulty_complete,llm5_pair_difficulty,156,0.11975311638475325,0.5436009779096683,0.42384786152491505,-4.773454250128186,4.197908746350005e-06
gemini_completed_gap_le_0.30,complexity_pc1_score,llm4_pair_difficulty,llm5_pair_difficulty,44,0.3688075982623083,0.428611656525306,0.05980405826299767,-1.3795453729961564,0.17520486951003852
gemini_completed_gap_le_0.30,complexity_pc1_score,human_difficulty_complete,llm5_pair_difficulty,44,0.3343865214249632,0.428611656525306,0.09422513510034275,-0.9694391683738156,0.3380105500310824
gemini_completed_gap_le_0.30,log1p_cyclomatic_complexity,llm4_pair_difficulty,llm5_pair_difficulty,44,0.27331107045666764,0.31725425686532405,0.04394318640865641,-0.9607350747009173,0.3423173189816341
gemini_completed_gap_le_0.30,log1p_cyclomatic_complexity,human_difficulty_complete,llm5_pair_difficulty,44,0.25257154125286735,0.31725425686532405,0.0646827156124567,-0.6344812647921207,0.5292914522755019
gemini_completed_gap_le_0.30,ast_node_count,llm4_pair_difficulty,llm5_pair_difficulty,44,0.33022351009740863,0.40167702367719954,0.0714535135797909,-1.6382932015938108,0.10901341548045125
gemini_completed_gap_le_0.30,ast_node_count,human_difficulty_complete,llm5_pair_difficulty,44,0.27081484743427875,0.40167702367719954,0.1308621762429208,-1.331079350896792,0.19051767706344963
gemini_completed_gap_le_0.30,log1p_branch_opcode_count_dynamic,llm4_pair_difficulty,llm5_pair_difficulty,44,0.43428043774861513,0.48240472380886346,0.04812428606024832,-1.1383952852019297,0.2615638709265198
gemini_completed_gap_le_0.30,log1p_branch_opcode_count_dynamic,human_difficulty_complete,llm5_pair_difficulty,44,0.3540521016329991,0.48240472380886346,0.12835262217586435,-1.3618936696308988,0.18066791139371785
