subset_name,complexity_metric,target_metric,target_label,n,pearson_r,spearman_rho
full_set,nonblank_lines,human_difficulty_complete,Human latent difficulty,391,0.159549601618165,0.146656128456703
full_set,nonblank_lines,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.30725727265396957,0.28825538369473697
full_set,nonblank_lines,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2883140174851798,0.26896185993101535
full_set,nonblank_lines,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.3299843512395772,0.3145906832500401
full_set,token_count,human_difficulty_complete,Human latent difficulty,391,0.14891811342597697,0.1341284092512068
full_set,token_count,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.31072388616973395,0.2907808461834437
full_set,token_count,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2866664910539491,0.26560313565523924
full_set,token_count,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.33067297727764944,0.31273370722836613
full_set,ast_node_count,human_difficulty_complete,Human latent difficulty,391,0.14321871640154485,0.12712254082744756
full_set,ast_node_count,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.3111998340766107,0.2892791036266927
full_set,ast_node_count,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.28480543777824724,0.26007395886469203
full_set,ast_node_count,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.32973674932779923,0.3081442343674225
full_set,function_count,human_difficulty_complete,Human latent difficulty,391,0.17842268722237442,0.17126733197422322
full_set,function_count,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.2797983980604801,0.2709098398098029
full_set,function_count,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.28040313187628185,0.26637804323126535
full_set,function_count,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.31057675657429257,0.30846451074868264
full_set,call_count_static,human_difficulty_complete,Human latent difficulty,391,0.15467144443855615,0.1420278407107058
full_set,call_count_static,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.3088029820614028,0.29254835365896464
full_set,call_count_static,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2927407624672387,0.272867084229861
full_set,call_count_static,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.3330085977927268,0.3200931136529767
full_set,branch_node_count,human_difficulty_complete,Human latent difficulty,391,0.07177545025055139,0.0515509925645881
full_set,branch_node_count,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.2855189855733373,0.2639660998970777
full_set,branch_node_count,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.23734500190616767,0.22124681851160424
full_set,branch_node_count,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.2893685886425186,0.26980219482025936
full_set,cyclomatic_complexity,human_difficulty_complete,Human latent difficulty,391,0.0824932803003609,0.05462545796841193
full_set,cyclomatic_complexity,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.3198400254167465,0.2843629287594922
full_set,cyclomatic_complexity,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2746610826867739,0.2524147521309354
full_set,cyclomatic_complexity,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.3286957856524332,0.29822923367301984
full_set,max_nesting_depth,human_difficulty_complete,Human latent difficulty,391,-0.05871098791864143,-0.08587641860082973
full_set,max_nesting_depth,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.25159720434157684,0.23092473473287314
full_set,max_nesting_depth,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.14063453971582485,0.11876508110963006
full_set,max_nesting_depth,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.2153505428377144,0.17364961345130336
full_set,gzip_bytes,human_difficulty_complete,Human latent difficulty,391,0.13038785090081534,0.12019941861938323
full_set,gzip_bytes,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.325071313175231,0.2925607378607293
full_set,gzip_bytes,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2811493887629953,0.261158611299237
full_set,gzip_bytes,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.33516091667142167,0.3075638440250546
full_set,halstead_volume,human_difficulty_complete,Human latent difficulty,391,0.1466785692666645,0.12964084278412974
full_set,halstead_volume,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.3050948386776309,0.2922451732684774
full_set,halstead_volume,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.28669588056789064,0.26401154110312874
full_set,halstead_volume,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.32770604922350416,0.31157432484579684
full_set,halstead_effort,human_difficulty_complete,Human latent difficulty,391,0.12741776863719634,0.10363576713698093
full_set,halstead_effort,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.274110658534596,0.29082811192795904
full_set,halstead_effort,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2740428974405005,0.25541047140570267
full_set,halstead_effort,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.3039697493728351,0.30441504719220774
full_set,input_cells_total,human_difficulty_complete,Human latent difficulty,391,0.1788513432685796,0.10292141484011227
full_set,input_cells_total,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.23856712500436364,0.32356655780549737
full_set,input_cells_total,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2224829268145803,0.26611980390294765
full_set,input_cells_total,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.2542672698226591,0.3104489568822223
full_set,output_cells_total,human_difficulty_complete,Human latent difficulty,391,0.16415911920075835,0.057932196141845145
full_set,output_cells_total,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.19192408572046732,0.23001441848941256
full_set,output_cells_total,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.20161633558737968,0.22052832505764047
full_set,output_cells_total,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.21795298362503457,0.25051927812886576
full_set,elapsed_ms_total,human_difficulty_complete,Human latent difficulty,391,0.04172872129943193,0.10168328200845558
full_set,elapsed_ms_total,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.027267594756928977,0.29973036167238937
full_set,elapsed_ms_total,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.036129968499738714,0.23119265699481878
full_set,elapsed_ms_total,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.035468991291798285,0.2761110878337044
full_set,elapsed_ms_per_test,human_difficulty_complete,Human latent difficulty,391,0.04173305787524235,0.10154596955839194
full_set,elapsed_ms_per_test,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.02729116129965874,0.3132530127155222
full_set,elapsed_ms_per_test,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.03614484326856372,0.2460430559484437
